incident_number,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
026371-08022014,1120,Cooking-time,office,Week_ends,0,2,0,100
031006-15022014,7110,Night-time,others,Week_ends,0,1,0,100
031535-15022014,0,Cooking-time,shopping_mall,Week_ends,0,1,0,100
037114-25022014,2270,Office Hours,others,Work_days,0,1,0,100
043266-08032014,1100,Office Hours,hospital,Week_ends,0,4,0,100
043487-09032014,1120,Night-time,apartment,Week_ends,0,1,0,100
043624-09032014,0,Office Hours,public_facility,Week_ends,0,1,0,100
062375-12042014,1110,Night-time,others,Week_ends,0,1,0,100
062682-12042014,1900,Office Hours,apartment,Week_ends,0,1,0,100
062897-13042014,1120,Night-time,shopping_mall,Week_ends,0,1,0,100
090425-02062014,1200,Office Hours,hotel,Work_days,0,2,0,100
098362-19062014,6110,Office Hours,house,Work_days,0,4,0,100
105216-01072014,2270,Cooking-time,others,Work_days,0,2,0,100
115841-18072014,1130,Cooking-time,shopping_mall,Work_days,0,1,0,100
161935-04102014,0,Night-time,hotel,Week_ends,0,1,0,100
168014-12102014,1170,Office Hours,industry_facility,Week_ends,0,1,0,100
170676-15102014,1110,Cooking-time,others,Work_days,0,2,0,100
176281-25102014,2350,Office Hours,others,Week_ends,0,1,0,100
178439-27102014,0,Night-time,office,Work_days,0,1,0,100
180416-30102014,1100,Night-time,restaurant,Work_days,0,5,0,100
181530-01112014,1200,Cooking-time,shopping_mall,Week_ends,0,1,0,100
182319-01112014,0,Office Hours,rest_home,Week_ends,0,1,0,100
187634-08112014,2350,Cooking-time,others,Week_ends,0,1,0,100
203501-30112014,6110,Night-time,house,Week_ends,0,1,0,100
203722-30112014,1100,Office Hours,house,Week_ends,0,1,0,100
205828-03122014,1900,Cooking-time,school,Work_days,0,1,0,100
213008-13122014,1200,Cooking-time,others,Week_ends,0,2,0,100
213596-14122014,4310,Office Hours,others,Week_ends,0,1,0,100
223401-30122014,2270,Office Hours,office,Work_days,0,1,0,100
001864-03012015,1120,Cooking-time,industry_facility,Week_ends,0,1,0,100
009606-17012015,0,Cooking-time,tansport,Week_ends,0,1,0,100
015301-27012015,2270,Cooking-time,office,Work_days,0,4,0,100
045276-21032015,1200,Office Hours,apartment,Week_ends,0,1,0,100
046509-24032015,2350,Night-time,others,Work_days,0,1,0,100
058408-15042015,1140,Cooking-time,apartment,Work_days,0,2,0,100
058444-15042015,0,Office Hours,tansport,Work_days,0,1,0,100
068161-22042015,4110,Night-time,others,Work_days,0,1,0,100
070286-25042015,2270,Office Hours,office,Week_ends,0,1,0,100
074820-02052015,1120,Office Hours,hotel,Week_ends,0,1,0,100
097414-14062015,1170,Night-time,industry_facility,Week_ends,0,1,0,100
113320-15072015,0,Office Hours,hospital,Work_days,0,2,0,100
