incident_number,season,alarm_type,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
714900-26112012,Spring,6990,Night-time,restaurant,0,5,0,100
717563-29112012,Spring,0,Night-time,house,0,1,0,100
718465-01122012,Summer,6100,Night-time,shopping_mall,0,101,0,100
718474-01122012,Summer,6990,Night-time,house,0,12,0,100
718524-01122012,Summer,6200,Night-time,hotel,0,37,0,100
718590-01122012,Summer,6200,Night-time,industry_facility,0,3,0,100
718763-01122012,Summer,6900,Office Hours,rest_home,0,207,0,100
718864-01122012,Summer,6100,Cooking-time,industry_facility,0,31,0,100
719022-01122012,Summer,1100,Office Hours,industry_facility,0,5,0,100
719127-01122012,Summer,6200,Cooking-time,hospital,0,37,0,100
719620-02122012,Summer,6200,Office Hours,shopping_mall,0,34,0,100
719744-02122012,Summer,1100,Cooking-time,public_facility,0,43,0,100
719876-03122012,Summer,1120,Night-time,office,0,1,0,100
719887-03122012,Summer,1160,Night-time,office,0,2,0,100
719927-03122012,Summer,1100,Night-time,apartment,0,30,0,100
720009-03122012,Summer,6990,Cooking-time,industry_facility,0,137,0,100
720025-03122012,Summer,6200,Office Hours,school,0,19,0,100
720210-03122012,Summer,1100,Office Hours,public_facility,0,23,0,100
720384-03122012,Summer,6200,Cooking-time,office,0,36,0,100
720491-04122012,Summer,6200,Night-time,rest_home,0,23,0,100
720533-04122012,Summer,6110,Night-time,apartment,0,32,0,100
720644-04122012,Summer,6200,Office Hours,apartment,0,55,0,100
721328-04122012,Summer,6200,Night-time,house,0,7,0,100
721428-05122012,Summer,1170,Night-time,industry_facility,0,2,0,100
721427-05122012,Summer,6120,Night-time,industry_facility,0,2,0,100
721476-05122012,Summer,1100,Cooking-time,hotel,0,32,0,100
721595-05122012,Summer,6200,Office Hours,hotel,0,34,0,100
722193-05122012,Summer,1100,Office Hours,apartment,0,45,0,100
722222-05122012,Summer,6110,Office Hours,hospital,0,13,0,100
722395-05122012,Summer,6100,Cooking-time,house,0,39,0,100
722735-06122012,Summer,6110,Cooking-time,office,0,39,0,100
723411-07122012,Summer,6200,Night-time,school,0,29,0,100
723431-07122012,Summer,1100,Night-time,school,0,43,0,100
723596-07122012,Summer,6200,Cooking-time,house,0,9,0,100
723610-07122012,Summer,7110,Office Hours,public_facility,0,9,0,100
723620-07122012,Summer,1120,Office Hours,industry_facility,0,3,0,100
723665-07122012,Summer,6100,Office Hours,tansport,0,40,0,100
724112-08122012,Summer,6110,Night-time,hospital,0,17,0,100
724585-08122012,Summer,6100,Office Hours,house,0,15,0,100
724698-08122012,Summer,6110,Cooking-time,restaurant,0,2,0,100
725081-09122012,Summer,6900,Cooking-time,restaurant,0,25,0,100
725669-09122012,Summer,6110,Night-time,hotel,0,13,0,100
725796-10122012,Summer,6200,Night-time,office,0,21,0,100
725863-10122012,Summer,1100,Office Hours,hotel,0,10,0,100
726281-11122012,Summer,1900,Night-time,apartment,0,11,0,100
726345-11122012,Summer,6990,Cooking-time,tansport,0,21,0,100
726361-11122012,Summer,6100,Cooking-time,restaurant,0,10,0,100
726616-11122012,Summer,1100,Office Hours,tansport,0,5,0,100
726994-12122012,Summer,1100,Cooking-time,industry_facility,0,9,0,100
727896-13122012,Summer,1100,Cooking-time,rest_home,0,18,0,100
728325-14122012,Summer,1100,Night-time,tansport,0,12,0,100
728429-14122012,Summer,6200,Cooking-time,tansport,0,10,0,100
728521-14122012,Summer,1120,Cooking-time,hospital,0,4,0,100
728643-14122012,Summer,6110,Office Hours,shopping_mall,0,5,0,100
728917-14122012,Summer,1100,Cooking-time,hospital,0,13,0,100
729065-15122012,Summer,6200,Night-time,public_facility,0,35,0,100
729367-15122012,Summer,6900,Office Hours,house,0,10,0,100
730686-17122012,Summer,6110,Office Hours,industry_facility,0,15,0,100
730988-17122012,Summer,1100,Cooking-time,office,0,46,0,100
732385-19122012,Summer,6990,Office Hours,restaurant,0,6,0,100
732686-19122012,Summer,6900,Night-time,tansport,0,71,0,100
732887-20122012,Summer,6110,Cooking-time,rest_home,0,6,0,100
733273-20122012,Summer,6200,Office Hours,hospital,0,14,0,100
734547-22122012,Summer,6990,Office Hours,tansport,0,11,0,100
735050-22122012,Summer,6120,Cooking-time,industry_facility,0,3,0,100
735051-22122012,Summer,1170,Cooking-time,industry_facility,0,1,0,100
735165-23122012,Summer,6110,Night-time,office,0,9,0,100
735408-23122012,Summer,1120,Office Hours,others,0,7,0,100
735528-23122012,Summer,0,Cooking-time,apartment,0,2,0,100
737924-25122012,Summer,6110,Night-time,industry_facility,0,8,0,100
738130-26122012,Summer,0,Cooking-time,house,0,1,0,100
738513-27122012,Summer,1900,Cooking-time,public_facility,0,4,0,100
738964-28122012,Summer,1900,Night-time,public_facility,0,1,0,100
741316-31122012,Summer,6110,Cooking-time,shopping_mall,0,7,0,100
001695-03012013,Summer,1120,Night-time,others,0,11,0,100
002491-04012013,Summer,1120,Night-time,hospital,0,2,0,100
003165-04012013,Summer,0,Night-time,others,0,5,0,100
003323-05012013,Summer,6990,Night-time,restaurant,0,12,0,100
004383-06012013,Summer,6990,Cooking-time,restaurant,0,9,0,100
004724-06012013,Summer,1100,Office Hours,rest_home,0,7,0,100
005232-07012013,Summer,1120,Office Hours,hospital,0,1,0,100
006273-08012013,Summer,1120,Office Hours,shopping_mall,0,2,0,100
007523-08012013,Summer,1170,Cooking-time,others,0,1,0,100
008296-09012013,Summer,1900,Office Hours,others,0,7,0,100
010298-11012013,Summer,6110,Cooking-time,house,0,4,0,100
011551-12012013,Summer,6200,Office Hours,industry_facility,0,5,0,100
014862-15012013,Summer,1200,Cooking-time,others,0,3,0,100
015038-16012013,Summer,6100,Night-time,house,0,19,0,100
015208-16012013,Summer,6120,Office Hours,others,0,6,0,100
015210-16012013,Summer,1170,Office Hours,industry_facility,0,1,0,100
015561-16012013,Summer,1120,Cooking-time,hotel,0,3,0,100
015614-16012013,Summer,6110,Night-time,rest_home,0,13,0,100
019932-20012013,Summer,1120,Office Hours,apartment,0,1,0,100
020161-20012013,Summer,1200,Cooking-time,public_facility,0,1,0,100
020162-20012013,Summer,1900,Cooking-time,apartment,0,3,0,100
021195-22012013,Summer,1900,Cooking-time,shopping_mall,0,1,0,100
021862-23012013,Summer,0,Night-time,rest_home,0,2,0,100
021875-23012013,Summer,1100,Night-time,industry_facility,0,8,0,100
022769-24012013,Summer,6900,Office Hours,restaurant,0,6,0,100
023776-25012013,Summer,0,Office Hours,house,0,1,0,100
024115-26012013,Summer,1900,Night-time,others,0,16,0,100
024499-26012013,Summer,6200,Cooking-time,industry_facility,0,5,0,100
027034-28012013,Summer,1100,Night-time,hospital,0,9,0,100
027672-29012013,Summer,6110,Office Hours,rest_home,0,4,0,100
028454-30012013,Summer,6120,Cooking-time,others,0,2,0,100
028645-31012013,Summer,0,Night-time,school,0,1,0,100
029129-31012013,Summer,0,Cooking-time,others,0,6,0,100
030268-02022013,Summer,0,Office Hours,apartment,0,1,0,100
030400-02022013,Summer,6100,Night-time,restaurant,0,6,0,100
032143-06022013,Summer,6110,Cooking-time,industry_facility,0,18,0,100
033485-08022013,Summer,1100,Office Hours,hospital,0,3,0,100
035964-12022013,Summer,6110,Office Hours,restaurant,0,1,0,100
036849-14022013,Summer,1120,Cooking-time,industry_facility,0,5,0,100
037798-16022013,Summer,1100,Cooking-time,house,0,4,0,100
038318-17022013,Summer,1100,Night-time,rest_home,0,2,0,100
042407-23022013,Summer,6200,Office Hours,house,0,4,0,100
043437-24022013,Summer,1100,Cooking-time,restaurant,0,3,0,100
044498-25022013,Summer,6290,Cooking-time,school,0,1,0,100
045604-27022013,Summer,0,Office Hours,others,0,5,0,100
046518-01032013,Autumn,6990,Night-time,school,0,132,0,100
046546-01032013,Autumn,6200,Night-time,rest_home,0,34,0,100
046594-01032013,Autumn,6110,Cooking-time,office,0,40,0,100
046619-01032013,Autumn,6100,Cooking-time,industry_facility,0,34,0,100
046708-01032013,Autumn,6110,Office Hours,school,0,111,0,100
046758-01032013,Autumn,6200,Cooking-time,public_facility,0,46,0,100
046882-01032013,Autumn,1120,Office Hours,industry_facility,0,1,0,100
047025-01032013,Autumn,6110,Night-time,rest_home,0,6,0,100
047119-02032013,Autumn,1100,Night-time,office,0,26,0,100
047386-02032013,Autumn,6200,Office Hours,public_facility,0,26,0,100
047468-02032013,Autumn,6990,Cooking-time,restaurant,0,15,0,100
047552-02032013,Autumn,6110,Cooking-time,rest_home,0,14,0,100
047561-02032013,Autumn,1120,Night-time,hotel,0,2,0,100
047625-03032013,Autumn,6200,Night-time,office,0,20,0,100
047665-03032013,Autumn,6110,Night-time,office,0,23,0,100
047768-03032013,Autumn,6200,Cooking-time,hospital,0,34,0,100
048069-03032013,Autumn,1100,Night-time,house,0,8,0,100
048082-03032013,Autumn,1100,Night-time,shopping_mall,0,57,0,100
048086-03032013,Autumn,6110,Night-time,school,0,108,0,100
