incident_number,alarm_type,repeat_count,time_of_day2,true_alarm,false_alarm,true_percentage,false_percentage
732764-20122012,1100,5,Night-time,0,7,0,100
733666-21122012,6110,5,Night-time,0,3,0,100
733749-21122012,6110,6,Cooking-time,0,3,0,100
734218-21122012,6110,7,Cooking-time,0,1,0,100
738765-27122012,6100,7,Cooking-time,0,2,0,100
739340-28122012,6100,8,Office Hours,0,1,0,100
740438-30122012,6900,4,Office Hours,0,19,0,100
008835-09012013,6900,6,Cooking-time,0,11,0,100
013764-14012013,1100,6,Cooking-time,0,2,0,100
013782-14012013,1100,7,Cooking-time,0,2,0,100
015210-16012013,1170,0,Office Hours,0,4,0,100
017474-18012013,6110,4,Cooking-time,0,6,0,100
026943-28012013,1100,5,Cooking-time,0,4,0,100
027209-29012013,6990,8,Night-time,0,6,0,100
027216-29012013,6990,9,Night-time,0,2,0,100
027414-29012013,6110,6,Night-time,0,2,0,100
030071-02022013,6110,4,Office Hours,0,3,0,100
030247-02022013,6990,5,Office Hours,0,6,0,100
030431-02022013,6990,7,Night-time,0,5,0,100
035262-11022013,6200,3,Office Hours,0,6,0,100
043898-24022013,6110,5,Office Hours,0,3,0,100
054702-16032013,6990,6,Night-time,0,1,0,100
054928-16032013,6990,10,Cooking-time,0,1,0,100
054988-16032013,6990,11,Cooking-time,0,1,0,100
055001-16032013,6990,12,Office Hours,0,1,0,100
055016-16032013,6990,13,Office Hours,0,1,0,100
055058-16032013,6990,14,Office Hours,0,1,0,100
055073-16032013,6990,15,Office Hours,0,1,0,100
057285-20032013,6110,6,Office Hours,0,2,0,100
059181-23032013,6110,5,Cooking-time,0,2,0,100
059360-23032013,6110,7,Office Hours,0,2,0,100
059625-24032013,6110,8,Night-time,0,1,0,100
063896-30032013,6210,0,Cooking-time,0,7,0,100
064267-31032013,6210,1,Night-time,0,1,0,100
064340-31032013,6210,2,Night-time,0,1,0,100
067048-05042013,1100,6,Night-time,0,3,0,100
067362-05042013,1100,7,Office Hours,0,1,0,100
067780-06042013,1100,8,Office Hours,0,1,0,100
069245-09042013,6210,0,Night-time,0,6,0,100
069314-09042013,6210,1,Cooking-time,0,2,0,100
088722-11052013,6210,0,Office Hours,0,6,0,100
095050-21052013,6200,4,Office Hours,0,2,0,100
112924-23062013,7110,1,Night-time,0,2,0,100
118045-03072013,6990,6,Office Hours,0,4,0,100
118101-03072013,6990,7,Office Hours,0,3,0,100
118473-04072013,6990,9,Cooking-time,0,1,0,100
121869-10072013,8990,0,Cooking-time,0,1,0,100
209019-30102013,1100,8,Cooking-time,0,1,0,100
209020-30102013,1100,9,Cooking-time,0,1,0,100
209021-30102013,1100,10,Cooking-time,0,1,0,100
209022-30102013,1100,11,Cooking-time,0,1,0,100
209023-30102013,1100,12,Cooking-time,0,1,0,100
209024-30102013,1100,13,Cooking-time,0,1,0,100
209025-30102013,1100,14,Cooking-time,0,1,0,100
209026-30102013,1100,15,Cooking-time,0,1,0,100
209027-30102013,1100,16,Cooking-time,0,1,0,100
209028-30102013,1100,17,Cooking-time,0,1,0,100
209029-30102013,1100,18,Cooking-time,0,1,0,100
209030-30102013,1100,19,Cooking-time,0,1,0,100
209031-30102013,1100,20,Cooking-time,0,1,0,100
209032-30102013,1100,21,Cooking-time,0,1,0,100
209033-30102013,1100,22,Cooking-time,0,1,0,100
209034-30102013,1100,23,Cooking-time,0,1,0,100
209035-30102013,1100,24,Cooking-time,0,1,0,100
209036-30102013,1100,25,Cooking-time,0,1,0,100
209037-30102013,1100,26,Cooking-time,0,1,0,100
209038-30102013,1100,27,Cooking-time,0,1,0,100
209039-30102013,1100,28,Cooking-time,0,1,0,100
209040-30102013,1100,29,Cooking-time,0,1,0,100
209041-30102013,1100,30,Cooking-time,0,1,0,100
209042-30102013,1100,31,Cooking-time,0,1,0,100
209043-30102013,1100,32,Cooking-time,0,1,0,100
209044-30102013,1100,33,Cooking-time,0,1,0,100
209045-30102013,1100,34,Cooking-time,0,1,0,100
209046-30102013,1100,35,Cooking-time,0,1,0,100
209047-30102013,1100,36,Cooking-time,0,1,0,100
209048-30102013,1100,37,Cooking-time,0,1,0,100
209049-30102013,1100,38,Cooking-time,0,1,0,100
209050-30102013,1100,39,Cooking-time,0,1,0,100
209051-30102013,1100,40,Cooking-time,0,1,0,100
209052-30102013,1100,41,Cooking-time,0,1,0,100
209053-30102013,1100,42,Office Hours,0,1,0,100
209054-30102013,1100,43,Office Hours,0,1,0,100
209064-30102013,1100,44,Office Hours,0,1,0,100
209067-30102013,1100,45,Office Hours,0,1,0,100
209565-31102013,1900,5,Cooking-time,0,1,0,100
209566-31102013,1900,6,Cooking-time,0,1,0,100
209567-31102013,1900,7,Cooking-time,0,1,0,100
209568-31102013,1900,8,Cooking-time,0,1,0,100
209569-31102013,1900,9,Cooking-time,0,1,0,100
209570-31102013,1900,10,Cooking-time,0,1,0,100
210965-02112013,6120,1,Office Hours,0,1,0,100
224753-19112013,7110,1,Office Hours,0,5,0,100
234780-06122013,1200,1,Night-time,0,4,0,100
235854-08122013,1200,3,Cooking-time,0,1,0,100
236726-09122013,1200,5,Cooking-time,0,1,0,100
236786-09122013,1200,6,Night-time,0,1,0,100
237823-11122013,6990,8,Office Hours,0,2,0,100
037114-25022014,2270,0,Office Hours,0,3,0,100
040190-03032014,6210,1,Office Hours,0,1,0,100
062375-12042014,1110,0,Night-time,0,1,0,100
063942-15042014,6900,5,Office Hours,0,3,0,100
068080-23042014,6200,5,Night-time,0,1,0,100
074689-05052014,1100,6,Office Hours,0,1,0,100
074962-06052014,1100,7,Night-time,0,3,0,100
075421-06052014,1100,8,Night-time,0,2,0,100
075447-07052014,1100,9,Night-time,0,1,0,100
075454-07052014,1100,10,Night-time,0,1,0,100
075565-07052014,1100,11,Office Hours,0,1,0,100
105216-01072014,2270,0,Cooking-time,0,6,0,100
115841-18072014,1130,0,Cooking-time,0,1,0,100
120042-25072014,6900,7,Office Hours,0,2,0,100
147436-10092014,1200,1,Office Hours,0,1,0,100
170601-15102014,6900,6,Office Hours,0,2,0,100
170676-15102014,1110,0,Cooking-time,0,1,0,100
170973-16102014,1110,1,Cooking-time,0,1,0,100
186509-06112014,6100,6,Cooking-time,0,7,0,100
187634-08112014,2350,0,Cooking-time,0,1,0,100
188291-09112014,6200,5,Cooking-time,0,3,0,100
188498-09112014,6200,6,Cooking-time,0,1,0,100
211074-10122014,6100,5,Office Hours,0,2,0,100
213596-14122014,4310,0,Office Hours,0,1,0,100
028675-21022015,6100,6,Office Hours,0,2,0,100
028954-21022015,6100,8,Cooking-time,0,3,0,100
029430-22022015,6100,9,Cooking-time,0,4,0,100
033018-01032015,6100,10,Cooking-time,0,1,0,100
033458-01032015,6100,11,Cooking-time,0,1,0,100
036854-07032015,1100,5,Office Hours,0,1,0,100
046509-24032015,2350,0,Night-time,0,1,0,100
056669-11042015,6100,7,Night-time,0,1,0,100
057049-12042015,6100,10,Office Hours,0,1,0,100
058408-15042015,1140,0,Cooking-time,0,1,0,100
058492-15042015,1140,1,Cooking-time,0,1,0,100
068161-22042015,4110,0,Night-time,0,1,0,100
096229-12062015,1120,2,Night-time,0,1,0,100
103128-25062015,6120,1,Cooking-time,0,2,0,100
113338-15072015,0,1,Office Hours,0,1,0,100
