incident_number,season,alarm_type,repeat_count,time_of_day2,true_alarm,false_alarm,true_percentage,false_percentage
040190-03032014,Autumn,6210,1,Office Hours,0,1,0,100
040676-04032014,Autumn,6990,5,Office Hours,0,2,0,100
040727-04032014,Autumn,6990,6,Cooking-time,0,3,0,100
049238-18032014,Autumn,6120,0,Cooking-time,0,2,0,100
056109-30032014,Autumn,6120,0,Night-time,0,1,0,100
060118-07042014,Autumn,1200,0,Cooking-time,0,4,0,100
060698-08042014,Autumn,6990,5,Cooking-time,0,2,0,100
062375-12042014,Autumn,1110,0,Night-time,0,1,0,100
063942-15042014,Autumn,6900,5,Office Hours,0,2,0,100
067583-22042014,Autumn,6200,4,Night-time,0,1,0,100
068080-23042014,Autumn,6200,5,Night-time,0,1,0,100
074339-05052014,Autumn,1100,4,Night-time,0,2,0,100
074689-05052014,Autumn,1100,6,Office Hours,0,1,0,100
074962-06052014,Autumn,1100,7,Night-time,0,2,0,100
075421-06052014,Autumn,1100,8,Night-time,0,2,0,100
075447-07052014,Autumn,1100,9,Night-time,0,1,0,100
075454-07052014,Autumn,1100,10,Night-time,0,1,0,100
075565-07052014,Autumn,1100,11,Office Hours,0,1,0,100
099374-21062014,Winter,1100,3,Office Hours,0,2,0,100
100675-23062014,Winter,6900,6,Cooking-time,0,3,0,100
100733-24062014,Winter,6900,7,Night-time,0,2,0,100
101594-25062014,Winter,1170,0,Office Hours,0,1,0,100
105216-01072014,Winter,2270,0,Cooking-time,0,4,0,100
105257-01072014,Winter,6200,3,Office Hours,0,1,0,100
105590-01072014,Winter,6990,7,Night-time,0,1,0,100
109150-07072014,Winter,6900,4,Office Hours,0,5,0,100
109503-08072014,Winter,6900,7,Cooking-time,0,1,0,100
109629-08072014,Winter,6900,8,Office Hours,0,1,0,100
114557-16072014,Winter,6900,5,Night-time,0,1,0,100
115065-16072014,Winter,1200,1,Night-time,0,2,0,100
115841-18072014,Winter,1130,0,Cooking-time,0,1,0,100
120042-25072014,Winter,6900,7,Office Hours,0,1,0,100
122314-29072014,Winter,1900,1,Office Hours,0,1,0,100
132075-12082014,Winter,6210,0,Night-time,0,1,0,100
136190-18082014,Winter,6900,6,Night-time,0,1,0,100
136194-18082014,Winter,6900,8,Night-time,0,1,0,100
144797-05092014,Spring,1200,1,Night-time,0,1,0,100
147270-10092014,Spring,1100,5,Night-time,0,1,0,100
147275-10092014,Spring,1100,6,Night-time,0,1,0,100
147280-10092014,Spring,1100,7,Night-time,0,1,0,100
147436-10092014,Spring,1200,1,Office Hours,0,1,0,100
155137-24092014,Spring,6210,0,Night-time,0,2,0,100
162400-04102014,Spring,6210,0,Office Hours,0,1,0,100
164972-08102014,Spring,6210,1,Cooking-time,0,1,0,100
169077-14102014,Spring,6990,5,Office Hours,0,1,0,100
170601-15102014,Spring,6900,6,Office Hours,0,1,0,100
170676-15102014,Spring,1110,0,Cooking-time,0,1,0,100
170973-16102014,Spring,1110,1,Cooking-time,0,1,0,100
171530-17102014,Spring,1100,4,Office Hours,0,1,0,100
176281-25102014,Spring,2350,0,Office Hours,0,1,0,100
183004-02112014,Spring,1900,2,Night-time,0,1,0,100
185271-05112014,Spring,6200,3,Office Hours,0,2,0,100
186509-06112014,Spring,6100,6,Cooking-time,0,1,0,100
187634-08112014,Spring,2350,0,Cooking-time,0,1,0,100
188140-09112014,Spring,6200,4,Office Hours,0,1,0,100
188291-09112014,Spring,6200,5,Cooking-time,0,1,0,100
188498-09112014,Spring,6200,6,Cooking-time,0,1,0,100
211074-10122014,Summer,6100,5,Office Hours,0,1,0,100
211367-10122014,Summer,6100,6,Cooking-time,0,3,0,100
213596-14122014,Summer,4310,0,Office Hours,0,1,0,100
218190-21122014,Summer,6900,5,Office Hours,0,1,0,100
004514-08012015,Summer,1200,0,Office Hours,0,1,0,100
015301-27012015,Summer,2270,0,Cooking-time,0,1,0,100
022794-10022015,Summer,1900,1,Office Hours,0,1,0,100
028675-21022015,Summer,6100,6,Office Hours,0,2,0,100
028954-21022015,Summer,6100,8,Cooking-time,0,2,0,100
029430-22022015,Summer,6100,9,Cooking-time,0,2,0,100
031722-27022015,Summer,6100,7,Office Hours,0,1,0,100
033018-01032015,Autumn,6100,10,Cooking-time,0,1,0,100
033292-01032015,Autumn,6990,4,Office Hours,0,2,0,100
033329-01032015,Autumn,6900,6,Office Hours,0,1,0,100
033344-01032015,Autumn,6900,7,Office Hours,0,1,0,100
033458-01032015,Autumn,6100,11,Cooking-time,0,1,0,100
034682-04032015,Autumn,6990,7,Cooking-time,0,1,0,100
036798-07032015,Autumn,1100,3,Office Hours,0,3,0,100
036823-07032015,Autumn,1100,4,Office Hours,0,1,0,100
036854-07032015,Autumn,1100,5,Office Hours,0,1,0,100
046509-24032015,Autumn,2350,0,Night-time,0,1,0,100
050931-31032015,Autumn,6100,5,Office Hours,0,1,0,100
054444-07042015,Autumn,7110,1,Office Hours,0,1,0,100
055711-10042015,Autumn,6100,4,Night-time,0,4,0,100
056132-10042015,Autumn,6100,5,Night-time,0,3,0,100
056552-11042015,Autumn,6100,6,Cooking-time,0,2,0,100
056669-11042015,Autumn,6100,7,Night-time,0,1,0,100
056731-12042015,Autumn,6100,8,Night-time,0,1,0,100
056971-12042015,Autumn,6100,9,Cooking-time,0,2,0,100
057049-12042015,Autumn,6100,10,Office Hours,0,1,0,100
058408-15042015,Autumn,1140,0,Cooking-time,0,1,0,100
058492-15042015,Autumn,1140,1,Cooking-time,0,1,0,100
066674-22042015,Autumn,6110,4,Night-time,0,2,0,100
068161-22042015,Autumn,4110,0,Night-time,0,1,0,100
069329-24042015,Autumn,6200,4,Cooking-time,0,2,0,100
069486-24042015,Autumn,6200,5,Cooking-time,0,2,0,100
070075-25042015,Autumn,6990,6,Office Hours,0,1,0,100
070077-25042015,Autumn,6990,7,Office Hours,0,1,0,100
070286-25042015,Autumn,2270,0,Office Hours,0,1,0,100
071655-27042015,Autumn,2270,0,Cooking-time,0,1,0,100
074845-02052015,Autumn,6100,5,Cooking-time,0,1,0,100
075430-03052015,Autumn,6100,7,Office Hours,0,1,0,100
075545-03052015,Autumn,6100,8,Cooking-time,0,1,0,100
075915-04052015,Autumn,6900,7,Night-time,0,1,0,100
076156-04052015,Autumn,6900,8,Cooking-time,0,1,0,100
076165-04052015,Autumn,6900,9,Cooking-time,0,1,0,100
076184-04052015,Autumn,6900,10,Cooking-time,0,1,0,100
095408-10062015,Winter,6110,4,Office Hours,0,1,0,100
096229-12062015,Winter,1120,2,Night-time,0,1,0,100
097074-13062015,Winter,1100,5,Cooking-time,0,1,0,100
102479-24062015,Winter,6100,4,Office Hours,0,2,0,100
103128-25062015,Winter,6120,1,Cooking-time,0,2,0,100
113338-15072015,Winter,0,1,Office Hours,0,1,0,100
119029-26072015,Winter,6100,5,Cooking-time,0,1,0,100
119465-27072015,Winter,6100,6,Cooking-time,0,1,0,100
