incident_number,season,alarm_type,repeat_count,time_of_day2,true_alarm,false_alarm,true_percentage,false_percentage
614644-08072012,Winter,1900,0,Cooking-time,0,16,0,100
616677-12072012,Winter,1100,2,Night-time,0,22,0,100
616729-13072012,Winter,1100,3,Night-time,0,10,0,100
616870-13072012,Winter,1900,0,Office Hours,0,4,0,100
617019-13072012,Winter,1100,4,Office Hours,0,1,0,100
617472-14072012,Winter,6110,3,Cooking-time,0,6,0,100
618960-17072012,Winter,6200,2,Night-time,0,4,0,100
619240-17072012,Winter,6100,2,Office Hours,0,29,0,100
619329-17072012,Winter,6990,3,Office Hours,0,13,0,100
619332-17072012,Winter,6990,4,Office Hours,0,10,0,100
619336-17072012,Winter,6990,6,Cooking-time,0,7,0,100
619344-17072012,Winter,6990,7,Cooking-time,0,3,0,100
619610-18072012,Winter,6990,8,Cooking-time,0,2,0,100
621628-22072012,Winter,1200,0,Night-time,0,4,0,100
621642-22072012,Winter,1200,1,Cooking-time,0,3,0,100
623214-25072012,Winter,1370,0,Cooking-time,0,1,0,100
624042-27072012,Winter,1120,1,Night-time,0,3,0,100
624151-27072012,Winter,1120,2,Cooking-time,0,1,0,100
624582-28072012,Winter,6990,3,Night-time,0,25,0,100
624621-28072012,Winter,6990,4,Night-time,0,10,0,100
626716-31072012,Winter,6100,4,Cooking-time,0,4,0,100
626786-01082012,Winter,6100,5,Night-time,0,3,0,100
627055-01082012,Winter,1200,0,Office Hours,0,4,0,100
627266-01082012,Winter,1200,2,Cooking-time,0,2,0,100
627308-02082012,Winter,1200,3,Night-time,0,1,0,100
627325-02082012,Winter,6100,6,Night-time,0,1,0,100
627652-02082012,Winter,6100,7,Office Hours,0,1,0,100
627812-02082012,Winter,1200,4,Cooking-time,0,1,0,100
627895-03082012,Winter,6100,8,Night-time,0,1,0,100
632839-10082012,Winter,6990,5,Night-time,0,4,0,100
635379-12082012,Winter,1100,4,Cooking-time,0,5,0,100
637517-16082012,Winter,1190,0,Cooking-time,0,1,0,100
638961-17082012,Winter,6110,3,Night-time,0,4,0,100
639005-18082012,Winter,6110,4,Night-time,0,3,0,100
641482-21082012,Winter,1200,0,Cooking-time,0,4,0,100
642400-22082012,Winter,6100,3,Cooking-time,0,15,0,100
648630-31082012,Winter,1120,3,Cooking-time,0,1,0,100
648870-31082012,Winter,6200,2,Cooking-time,0,10,0,100
649184-01092012,Spring,1900,1,Night-time,0,3,0,100
649287-01092012,Spring,1900,0,Night-time,0,15,0,100
649480-01092012,Spring,6990,3,Office Hours,0,11,0,100
649774-01092012,Spring,6990,4,Office Hours,0,5,0,100
650300-02092012,Spring,1100,1,Cooking-time,0,65,0,100
651257-03092012,Spring,6990,2,Cooking-time,0,93,0,100
651659-03092012,Spring,6110,1,Cooking-time,0,71,0,100
651711-03092012,Spring,6290,0,Night-time,0,2,0,100
652277-04092012,Spring,6200,2,Cooking-time,0,15,0,100
653329-05092012,Spring,6100,2,Cooking-time,0,66,0,100
653376-05092012,Spring,6100,3,Cooking-time,0,20,0,100
653703-05092012,Spring,1900,1,Cooking-time,0,3,0,100
653814-05092012,Spring,6990,3,Cooking-time,0,25,0,100
653912-05092012,Spring,1100,2,Night-time,0,23,0,100
653976-06092012,Spring,6990,4,Night-time,0,6,0,100
654282-06092012,Spring,6100,2,Office Hours,0,34,0,100
655154-07092012,Spring,0,0,Night-time,0,21,0,100
655301-07092012,Spring,6110,2,Office Hours,0,7,0,100
655863-07092012,Spring,0,1,Cooking-time,0,4,0,100
655974-07092012,Spring,1100,2,Cooking-time,0,12,0,100
656180-07092012,Spring,6110,1,Night-time,0,33,0,100
657419-09092012,Spring,6100,2,Night-time,0,31,0,100
657446-09092012,Spring,6100,3,Night-time,0,6,0,100
657544-09092012,Spring,6100,4,Office Hours,0,1,0,100
658686-10092012,Spring,0,0,Office Hours,0,21,0,100
659262-11092012,Spring,6200,1,Night-time,0,44,0,100
659927-12092012,Spring,6900,3,Night-time,0,17,0,100
660022-12092012,Spring,6900,4,Cooking-time,0,10,0,100
660822-13092012,Spring,6100,3,Office Hours,0,7,0,100
661263-14092012,Spring,1100,1,Night-time,0,63,0,100
661276-14092012,Spring,1100,3,Night-time,0,11,0,100
661282-14092012,Spring,1100,4,Night-time,0,3,0,100
661790-14092012,Spring,6900,5,Cooking-time,0,6,0,100
661987-15092012,Spring,6900,6,Night-time,0,3,0,100
662003-15092012,Spring,6900,7,Cooking-time,0,2,0,100
662162-15092012,Spring,6900,8,Office Hours,0,1,0,100
662531-15092012,Spring,6900,9,Cooking-time,0,1,0,100
664065-18092012,Spring,1120,1,Night-time,0,5,0,100
664192-18092012,Spring,1120,0,Office Hours,0,21,0,100
664420-18092012,Spring,1120,2,Office Hours,0,1,0,100
670050-26092012,Spring,6900,3,Office Hours,0,9,0,100
670613-27092012,Spring,6900,4,Night-time,0,7,0,100
671463-28092012,Spring,6900,5,Night-time,0,3,0,100
671480-28092012,Spring,6900,7,Night-time,0,1,0,100
671483-28092012,Spring,6900,8,Night-time,0,1,0,100
671487-28092012,Spring,6900,9,Night-time,0,1,0,100
671909-28092012,Spring,6900,10,Cooking-time,0,1,0,100
671932-28092012,Spring,6900,11,Cooking-time,0,1,0,100
672838-29092012,Spring,6200,1,Office Hours,0,53,0,100
672864-29092012,Spring,6200,2,Office Hours,0,8,0,100
672889-29092012,Spring,1900,0,Office Hours,0,16,0,100
673559-30092012,Spring,6100,4,Cooking-time,0,4,0,100
673560-30092012,Spring,6100,5,Cooking-time,0,2,0,100
674655-01102012,Spring,6120,0,Cooking-time,0,6,0,100
680780-09102012,Spring,6200,3,Cooking-time,0,2,0,100
681404-10102012,Spring,6200,4,Night-time,0,3,0,100
681475-10102012,Spring,6110,3,Cooking-time,0,4,0,100
684927-16102012,Spring,6200,2,Night-time,0,3,0,100
684949-16102012,Spring,6200,3,Night-time,0,3,0,100
685522-16102012,Spring,1170,0,Cooking-time,0,2,0,100
686381-17102012,Spring,7110,0,Night-time,0,6,0,100
689862-22102012,Spring,6110,2,Night-time,0,8,0,100
689869-22102012,Spring,6110,3,Night-time,0,1,0,100
689881-22102012,Spring,6110,4,Night-time,0,1,0,100
692118-25102012,Spring,1100,4,Cooking-time,0,4,0,100
692968-26102012,Spring,6990,3,Night-time,0,15,0,100
697576-01112012,Spring,1200,0,Cooking-time,0,9,0,100
702563-07112012,Spring,6290,1,Office Hours,0,1,0,100
703054-08112012,Spring,1900,1,Office Hours,0,1,0,100
703152-08112012,Spring,1900,2,Cooking-time,0,2,0,100
703171-08112012,Spring,1900,3,Cooking-time,0,2,0,100
704497-10112012,Spring,1160,0,Cooking-time,0,1,0,100
705641-12112012,Spring,1120,1,Cooking-time,0,3,0,100
708026-15112012,Spring,6600,0,Cooking-time,0,2,0,100
711287-21112012,Spring,1100,3,Cooking-time,0,4,0,100
713294-24112012,Spring,7110,1,Cooking-time,0,1,0,100
