incident_number,alarm_type,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
738598-27122012,1900,1,Cooking-time,public_facility,0,1,0,100
738765-27122012,6100,7,Cooking-time,shopping_mall,0,1,0,100
738964-28122012,1900,2,Night-time,public_facility,0,1,0,100
739340-28122012,6100,8,Office Hours,shopping_mall,0,1,0,100
740138-29122012,6900,3,Cooking-time,school,0,16,0,100
740438-30122012,6900,4,Office Hours,school,0,4,0,100
740864-30122012,6900,5,Cooking-time,school,0,3,0,100
000232-01012013,6900,2,Night-time,public_facility,0,11,0,100
001774-03012013,6100,2,Cooking-time,public_facility,0,19,0,100
001792-03012013,1100,3,Cooking-time,hotel,0,2,0,100
002491-04012013,1120,0,Night-time,hospital,0,3,0,100
003198-04012013,1120,1,Night-time,hospital,0,2,0,100
