incident_number,alarm_type,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
076688-21042013,6100,1,Office Hours,rest_home,Week_ends,0,8,0,100
077761-23042013,6900,2,Office Hours,public_facility,Work_days,0,5,0,100
078958-25042013,6200,3,Office Hours,school,Work_days,0,1,0,100
080516-27042013,6110,0,Cooking-time,industry_facility,Week_ends,0,7,0,100
080558-27042013,6990,1,Night-time,house,Week_ends,0,2,0,100
080646-28042013,6110,1,Night-time,industry_facility,Week_ends,0,2,0,100
081232-28042013,6100,1,Night-time,house,Week_ends,0,2,0,100
081564-29042013,6100,2,Cooking-time,office,Work_days,0,5,0,100
081596-29042013,6200,1,Office Hours,hospital,Work_days,0,7,0,100
081856-29042013,6110,2,Cooking-time,industry_facility,Work_days,0,2,0,100
082320-30042013,6110,2,Office Hours,rest_home,Work_days,0,1,0,100
082588-01052013,6110,3,Night-time,rest_home,Work_days,0,1,0,100
083043-01052013,7110,0,Night-time,public_facility,Work_days,0,5,0,100
083292-02052013,6210,0,Cooking-time,office,Work_days,0,4,0,100
086046-07052013,6990,3,Night-time,apartment,Work_days,0,5,0,100
086380-07052013,6990,3,Office Hours,hospital,Work_days,0,5,0,100
086882-08052013,1200,0,Office Hours,others,Work_days,0,6,0,100
087607-09052013,6100,2,Cooking-time,tansport,Work_days,0,2,0,100
087617-09052013,6100,3,Cooking-time,tansport,Work_days,0,1,0,100
088423-10052013,6900,2,Night-time,tansport,Work_days,0,5,0,100
088722-11052013,6210,0,Office Hours,office,Week_ends,0,2,0,100
088931-11052013,1100,1,Office Hours,school,Week_ends,0,5,0,100
089369-12052013,6100,1,Cooking-time,restaurant,Week_ends,0,1,0,100
089902-12052013,6990,1,Night-time,tansport,Week_ends,0,3,0,100
094407-20052013,6900,6,Cooking-time,apartment,Work_days,0,2,0,100
095050-21052013,6200,4,Office Hours,shopping_mall,Work_days,0,1,0,100
095754-22052013,6100,1,Office Hours,restaurant,Work_days,0,1,0,100
095915-22052013,1100,1,Cooking-time,rest_home,Work_days,0,5,0,100
096086-22052013,6900,4,Cooking-time,apartment,Work_days,0,3,0,100
096688-24052013,6900,6,Night-time,apartment,Work_days,0,1,0,100
096875-24052013,6200,3,Office Hours,shopping_mall,Work_days,0,2,0,100
096952-24052013,6900,7,Cooking-time,apartment,Work_days,0,2,0,100
097031-24052013,6990,2,Office Hours,school,Work_days,0,2,0,100
097298-25052013,6900,8,Night-time,apartment,Week_ends,0,1,0,100
097317-25052013,6210,0,Night-time,office,Week_ends,0,1,0,100
099143-28052013,6990,1,Cooking-time,tansport,Work_days,0,7,0,100
099348-28052013,7110,1,Cooking-time,public_facility,Work_days,0,4,0,100
099515-29052013,6100,2,Night-time,apartment,Work_days,0,11,0,100
099605-29052013,6900,1,Office Hours,house,Work_days,0,6,0,100
100689-31052013,6990,1,Office Hours,tansport,Work_days,0,3,0,100
100692-31052013,6990,2,Office Hours,tansport,Work_days,0,3,0,100
101012-31052013,6900,3,Night-time,office,Work_days,0,2,0,100
101032-01062013,6900,4,Night-time,office,Week_ends,0,2,0,100
101148-01062013,6110,2,Cooking-time,others,Week_ends,0,4,0,100
101194-01062013,6110,3,Office Hours,others,Week_ends,0,1,0,100
101646-02062013,6110,1,Office Hours,public_facility,Week_ends,0,1,0,100
101690-02062013,6100,1,Office Hours,restaurant,Week_ends,0,1,0,100
101974-03062013,6990,4,Cooking-time,shopping_mall,Work_days,0,2,0,100
102451-04062013,1200,1,Cooking-time,public_facility,Work_days,0,1,0,100
102762-04062013,1200,2,Cooking-time,public_facility,Work_days,0,1,0,100
103460-06062013,6200,1,Cooking-time,hospital,Work_days,0,10,0,100
103553-06062013,6200,2,Cooking-time,hospital,Work_days,0,4,0,100
104805-08062013,1100,2,Office Hours,others,Week_ends,0,5,0,100
107714-14062013,6990,3,Night-time,school,Work_days,0,2,0,100
108205-15062013,1100,3,Night-time,apartment,Week_ends,0,1,0,100
108226-15062013,1100,4,Night-time,apartment,Week_ends,0,2,0,100
108877-16062013,6290,1,Office Hours,school,Week_ends,0,1,0,100
108903-16062013,6200,2,Cooking-time,others,Week_ends,0,1,0,100
109930-18062013,6200,1,Office Hours,hotel,Work_days,0,6,0,100
109962-18062013,6200,2,Office Hours,hotel,Work_days,0,2,0,100
110364-19062013,6200,3,Cooking-time,hotel,Work_days,0,1,0,100
111340-21062013,6990,1,Office Hours,restaurant,Work_days,0,2,0,100
111672-21062013,6990,3,Night-time,industry_facility,Work_days,0,1,0,100
111699-21062013,1100,3,Night-time,apartment,Work_days,0,2,0,100
111767-22062013,6200,1,Night-time,industry_facility,Week_ends,0,2,0,100
111802-22062013,1100,5,Night-time,apartment,Week_ends,0,2,0,100
112816-23062013,6990,4,Cooking-time,office,Week_ends,0,1,0,100
112924-23062013,7110,1,Night-time,public_facility,Week_ends,0,2,0,100
112978-24062013,6900,3,Night-time,hotel,Work_days,0,1,0,100
112997-24062013,6100,1,Night-time,industry_facility,Work_days,0,8,0,100
113008-24062013,6990,5,Night-time,office,Work_days,0,2,0,100
113307-24062013,6290,0,Office Hours,school,Work_days,0,3,0,100
113334-24062013,6120,0,Office Hours,office,Work_days,0,1,0,100
113564-25062013,6100,1,Night-time,restaurant,Work_days,0,3,0,100
113849-25062013,6210,0,Office Hours,office,Work_days,0,4,0,100
115124-27062013,6900,3,Night-time,tansport,Work_days,0,3,0,100
115757-29062013,6200,1,Cooking-time,rest_home,Week_ends,0,2,0,100
116117-29062013,1100,2,Cooking-time,school,Week_ends,0,4,0,100
116149-29062013,1100,3,Cooking-time,school,Week_ends,0,1,0,100
116200-30062013,1100,4,Night-time,school,Week_ends,0,1,0,100
116205-30062013,0,0,Night-time,apartment,Week_ends,0,2,0,100
116238-30062013,6900,2,Night-time,apartment,Week_ends,0,4,0,100
116613-30062013,6990,2,Night-time,hospital,Week_ends,0,4,0,100
117201-02072013,1200,0,Night-time,others,Work_days,0,9,0,100
118045-03072013,6990,6,Office Hours,others,Work_days,0,1,0,100
118101-03072013,6990,7,Office Hours,others,Work_days,0,1,0,100
118473-04072013,6990,9,Cooking-time,others,Work_days,0,1,0,100
120009-07072013,1120,0,Cooking-time,hospital,Week_ends,0,3,0,100
121869-10072013,8990,0,Cooking-time,others,Work_days,0,1,0,100
