incident_number,season,alarm_type,repeat_count,work_end,true_alarm,false_alarm,true_percentage,false_percentage
738598-27122012,Summer,1900,1,Work_days,0,8,0,100
738765-27122012,Summer,6100,7,Work_days,0,2,0,100
738964-28122012,Summer,1900,2,Work_days,0,3,0,100
739340-28122012,Summer,6100,8,Work_days,0,2,0,100
740864-30122012,Summer,6900,5,Week_ends,0,4,0,100
003198-04012013,Summer,1120,1,Work_days,0,4,0,100
004424-06012013,Summer,6990,3,Week_ends,0,15,0,100
011268-12012013,Summer,6100,3,Week_ends,0,8,0,100
013636-13012013,Summer,1100,4,Week_ends,0,1,0,100
013764-14012013,Summer,1100,6,Work_days,0,1,0,100
013782-14012013,Summer,1100,7,Work_days,0,1,0,100
014862-15012013,Summer,1200,0,Work_days,0,8,0,100
015150-16012013,Summer,6990,4,Work_days,0,14,0,100
020161-20012013,Summer,1200,0,Week_ends,0,2,0,100
025990-27012013,Summer,6990,4,Week_ends,0,6,0,100
026282-28012013,Summer,6990,5,Work_days,0,5,0,100
026475-28012013,Summer,6990,6,Work_days,0,2,0,100
026598-28012013,Summer,6990,7,Work_days,0,2,0,100
027209-29012013,Summer,6990,8,Work_days,0,3,0,100
027216-29012013,Summer,6990,9,Work_days,0,1,0,100
029995-02022013,Summer,6110,3,Week_ends,0,3,0,100
030071-02022013,Summer,6110,4,Week_ends,0,2,0,100
030247-02022013,Summer,6990,5,Week_ends,0,3,0,100
030360-02022013,Summer,6990,6,Week_ends,0,2,0,100
030431-02022013,Summer,6990,7,Week_ends,0,2,0,100
030460-03022013,Summer,6990,8,Week_ends,0,1,0,100
035262-11022013,Summer,6200,3,Work_days,0,2,0,100
043898-24022013,Summer,6110,5,Week_ends,0,1,0,100
046535-01032013,Autumn,6100,2,Work_days,0,135,0,100
046596-01032013,Autumn,6200,1,Work_days,0,127,0,100
047057-02032013,Autumn,6100,2,Week_ends,0,57,0,100
047193-02032013,Autumn,6100,3,Week_ends,0,22,0,100
047196-02032013,Autumn,6200,1,Week_ends,0,49,0,100
047238-02032013,Autumn,6900,2,Week_ends,0,67,0,100
047552-02032013,Autumn,6110,1,Week_ends,0,41,0,100
047574-02032013,Autumn,1120,1,Week_ends,0,3,0,100
047658-03032013,Autumn,6990,3,Week_ends,0,11,0,100
048662-05032013,Autumn,6990,3,Work_days,0,46,0,100
048677-05032013,Autumn,6200,2,Work_days,0,21,0,100
049002-05032013,Autumn,6200,3,Work_days,0,9,0,100
049154-06032013,Autumn,1100,2,Work_days,0,29,0,100
049181-06032013,Autumn,1100,3,Work_days,0,6,0,100
049578-06032013,Autumn,7110,0,Work_days,0,25,0,100
051549-10032013,Autumn,6110,2,Week_ends,0,12,0,100
051740-10032013,Autumn,6200,2,Week_ends,0,3,0,100
052187-11032013,Autumn,1200,0,Work_days,0,15,0,100
052683-12032013,Autumn,6290,0,Work_days,0,5,0,100
052703-12032013,Autumn,6100,3,Work_days,0,33,0,100
054130-15032013,Autumn,6990,4,Work_days,0,11,0,100
054698-16032013,Autumn,6990,5,Week_ends,0,2,0,100
