incident_number,season,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
650652-02092012,Spring,1100,Office Hours,tansport,Week_ends,0,2,0,100
650655-02092012,Spring,6100,Office Hours,industry_facility,Week_ends,0,10,0,100
650814-02092012,Spring,1120,Cooking-time,hotel,Week_ends,0,1,0,100
650862-02092012,Spring,6110,Night-time,hotel,Week_ends,0,3,0,100
650905-03092012,Spring,6990,Night-time,industry_facility,Work_days,0,34,0,100
650988-03092012,Spring,6200,Cooking-time,school,Work_days,0,33,0,100
651062-03092012,Spring,6110,Office Hours,hospital,Work_days,0,12,0,100
651326-03092012,Spring,6110,Office Hours,industry_facility,Work_days,0,10,0,100
651390-03092012,Spring,6200,Office Hours,apartment,Work_days,0,69,0,100
651711-03092012,Spring,6290,Night-time,school,Work_days,0,1,0,100
651955-04092012,Spring,6200,Night-time,office,Work_days,0,12,0,100
651966-04092012,Spring,6200,Night-time,public_facility,Work_days,0,7,0,100
652009-04092012,Spring,6900,Cooking-time,rest_home,Work_days,0,245,0,100
652069-04092012,Spring,6900,Office Hours,public_facility,Work_days,0,103,0,100
652114-04092012,Spring,1100,Office Hours,apartment,Work_days,0,38,0,100
652400-04092012,Spring,6110,Office Hours,hotel,Work_days,0,19,0,100
652816-05092012,Spring,6100,Night-time,rest_home,Work_days,0,67,0,100
652817-05092012,Spring,6110,Night-time,public_facility,Work_days,0,10,0,100
653483-05092012,Spring,1100,Office Hours,public_facility,Work_days,0,25,0,100
653506-05092012,Spring,6200,Office Hours,shopping_mall,Work_days,0,28,0,100
653664-05092012,Spring,1100,Cooking-time,public_facility,Work_days,0,71,0,100
653703-05092012,Spring,1900,Cooking-time,others,Work_days,0,21,0,100
653912-05092012,Spring,1100,Night-time,public_facility,Work_days,0,12,0,100
653994-06092012,Spring,1100,Night-time,apartment,Work_days,0,30,0,100
654219-06092012,Spring,6110,Cooking-time,hotel,Work_days,0,19,0,100
654296-06092012,Spring,6990,Office Hours,public_facility,Work_days,0,136,0,100
654834-06092012,Spring,6100,Office Hours,house,Work_days,0,13,0,100
654856-06092012,Spring,6100,Cooking-time,house,Work_days,0,21,0,100
655154-07092012,Spring,0,Night-time,hotel,Work_days,0,3,0,100
655437-07092012,Spring,6110,Cooking-time,shopping_mall,Work_days,0,7,0,100
655863-07092012,Spring,0,Cooking-time,public_facility,Work_days,0,2,0,100
656213-08092012,Spring,6200,Night-time,office,Week_ends,0,6,0,100
656288-08092012,Spring,6900,Night-time,industry_facility,Week_ends,0,15,0,100
656336-08092012,Spring,1100,Night-time,apartment,Week_ends,0,17,0,100
656445-08092012,Spring,6990,Cooking-time,rest_home,Week_ends,0,40,0,100
656554-08092012,Spring,6990,Office Hours,rest_home,Week_ends,0,28,0,100
656566-08092012,Spring,6100,Office Hours,hotel,Week_ends,0,32,0,100
656588-08092012,Spring,6900,Office Hours,shopping_mall,Week_ends,0,32,0,100
657159-08092012,Spring,6200,Cooking-time,public_facility,Week_ends,0,15,0,100
657306-08092012,Spring,6200,Night-time,public_facility,Week_ends,0,10,0,100
657376-09092012,Spring,6200,Night-time,tansport,Week_ends,0,3,0,100
