incident_number,season,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
048256-04032013,Autumn,6200,Cooking-time,industry_facility,Work_days,0,8,0,100
048270-04032013,Autumn,6100,Office Hours,shopping_mall,Work_days,0,59,0,100
048280-04032013,Autumn,6200,Office Hours,industry_facility,Work_days,0,7,0,100
048422-04032013,Autumn,1100,Office Hours,apartment,Work_days,0,25,0,100
048440-04032013,Autumn,1100,Office Hours,rest_home,Work_days,0,9,0,100
048616-04032013,Autumn,6900,Night-time,industry_facility,Work_days,0,43,0,100
048677-05032013,Autumn,6200,Night-time,industry_facility,Work_days,0,8,0,100
048708-05032013,Autumn,1100,Cooking-time,house,Work_days,0,4,0,100
049037-05032013,Autumn,1100,Cooking-time,hospital,Work_days,0,16,0,100
049154-06032013,Autumn,1100,Night-time,hospital,Work_days,0,11,0,100
049159-06032013,Autumn,6200,Night-time,hospital,Work_days,0,11,0,100
049195-06032013,Autumn,1100,Night-time,apartment,Work_days,0,34,0,100
049316-06032013,Autumn,6200,Office Hours,public_facility,Work_days,0,18,0,100
049493-06032013,Autumn,6200,Office Hours,school,Work_days,0,26,0,100
049578-06032013,Autumn,7110,Cooking-time,public_facility,Work_days,0,18,0,100
049620-06032013,Autumn,6900,Cooking-time,restaurant,Work_days,0,16,0,100
049663-07032013,Autumn,1100,Night-time,shopping_mall,Work_days,0,39,0,100
049733-07032013,Autumn,1100,Night-time,tansport,Work_days,0,6,0,100
049969-07032013,Autumn,1120,Office Hours,office,Work_days,0,4,0,100
050183-08032013,Autumn,6110,Night-time,apartment,Work_days,0,21,0,100
050480-08032013,Autumn,1120,Office Hours,others,Work_days,0,8,0,100
050518-08032013,Autumn,6990,Office Hours,tansport,Work_days,0,20,0,100
050696-08032013,Autumn,1100,Night-time,public_facility,Work_days,0,12,0,100
050843-09032013,Autumn,6900,Night-time,hospital,Week_ends,0,60,0,100
050868-09032013,Autumn,6200,Night-time,hospital,Week_ends,0,2,0,100
050874-09032013,Autumn,6990,Night-time,hospital,Week_ends,0,26,0,100
050898-09032013,Autumn,1100,Cooking-time,rest_home,Week_ends,0,7,0,100
050900-09032013,Autumn,6200,Cooking-time,shopping_mall,Week_ends,0,30,0,100
050947-09032013,Autumn,6110,Cooking-time,house,Week_ends,0,3,0,100
051007-09032013,Autumn,1100,Office Hours,apartment,Week_ends,0,11,0,100
051038-09032013,Autumn,6110,Office Hours,industry_facility,Week_ends,0,4,0,100
051045-09032013,Autumn,6110,Office Hours,school,Week_ends,0,26,0,100
051070-09032013,Autumn,6900,Cooking-time,tansport,Week_ends,0,27,0,100
051145-09032013,Autumn,6990,Cooking-time,industry_facility,Week_ends,0,18,0,100
051153-09032013,Autumn,6100,Office Hours,school,Week_ends,0,45,0,100
051460-10032013,Autumn,1100,Night-time,apartment,Week_ends,0,12,0,100
051467-10032013,Autumn,6200,Night-time,shopping_mall,Week_ends,0,11,0,100
051558-10032013,Autumn,6290,Night-time,school,Week_ends,0,2,0,100
051560-10032013,Autumn,6110,Night-time,industry_facility,Week_ends,0,4,0,100
051564-10032013,Autumn,1100,Night-time,school,Week_ends,0,10,0,100
051635-10032013,Autumn,6900,Office Hours,industry_facility,Week_ends,0,11,0,100
051907-10032013,Autumn,6200,Cooking-time,office,Week_ends,0,11,0,100
051974-10032013,Autumn,6900,Night-time,shopping_mall,Week_ends,0,45,0,100
051976-10032013,Autumn,6200,Night-time,others,Week_ends,0,19,0,100
052004-10032013,Autumn,6110,Night-time,others,Week_ends,0,30,0,100
052076-11032013,Autumn,6110,Night-time,hospital,Work_days,0,8,0,100
052167-11032013,Autumn,7110,Office Hours,public_facility,Work_days,0,7,0,100
052187-11032013,Autumn,1200,Office Hours,apartment,Work_days,0,1,0,100
052683-12032013,Autumn,6290,Cooking-time,school,Work_days,0,4,0,100
053018-13032013,Autumn,1100,Night-time,school,Work_days,0,43,0,100
053023-13032013,Autumn,6110,Night-time,industry_facility,Work_days,0,7,0,100
053752-14032013,Autumn,1100,Office Hours,house,Work_days,0,1,0,100
053948-14032013,Autumn,1900,Office Hours,apartment,Work_days,0,2,0,100
054150-15032013,Autumn,6110,Cooking-time,hospital,Work_days,0,15,0,100
054260-15032013,Autumn,6110,Office Hours,hotel,Work_days,0,11,0,100
054696-16032013,Autumn,1100,Night-time,public_facility,Week_ends,0,6,0,100
054879-16032013,Autumn,1100,Office Hours,tansport,Week_ends,0,2,0,100
054976-16032013,Autumn,6900,Cooking-time,restaurant,Week_ends,0,3,0,100
054978-16032013,Autumn,6200,Cooking-time,school,Week_ends,0,15,0,100
055064-16032013,Autumn,6100,Office Hours,shopping_mall,Week_ends,0,27,0,100
055239-16032013,Autumn,1100,Cooking-time,school,Week_ends,0,14,0,100
055294-16032013,Autumn,6100,Night-time,tansport,Week_ends,0,13,0,100
055423-17032013,Autumn,6110,Night-time,public_facility,Week_ends,0,5,0,100
055436-17032013,Autumn,6110,Cooking-time,office,Week_ends,0,14,0,100
055640-17032013,Autumn,6100,Office Hours,hotel,Week_ends,0,32,0,100
055662-17032013,Autumn,6200,Office Hours,school,Week_ends,0,9,0,100
055784-17032013,Autumn,6200,Cooking-time,industry_facility,Week_ends,0,3,0,100
055889-18032013,Autumn,6200,Night-time,school,Work_days,0,15,0,100
055927-18032013,Autumn,6100,Night-time,restaurant,Work_days,0,1,0,100
055942-18032013,Autumn,0,Night-time,others,Work_days,0,4,0,100
056201-18032013,Autumn,6100,Office Hours,restaurant,Work_days,0,9,0,100
056391-19032013,Autumn,6110,Night-time,public_facility,Work_days,0,14,0,100
056427-19032013,Autumn,6110,Night-time,school,Work_days,0,73,0,100
056431-19032013,Autumn,1200,Night-time,public_facility,Work_days,0,1,0,100
056474-19032013,Autumn,6110,Cooking-time,house,Work_days,0,4,0,100
056564-19032013,Autumn,1100,Office Hours,public_facility,Work_days,0,22,0,100
057049-20032013,Autumn,1100,Cooking-time,hotel,Work_days,0,20,0,100
057099-20032013,Autumn,6200,Cooking-time,house,Work_days,0,11,0,100
057257-20032013,Autumn,1100,Cooking-time,rest_home,Work_days,0,12,0,100
057711-21032013,Autumn,6200,Office Hours,office,Work_days,0,14,0,100
057738-21032013,Autumn,6900,Office Hours,restaurant,Work_days,0,18,0,100
057832-21032013,Autumn,6100,Cooking-time,house,Work_days,0,37,0,100
058148-21032013,Autumn,6100,Night-time,industry_facility,Work_days,0,11,0,100
058405-22032013,Autumn,6100,Office Hours,tansport,Work_days,0,18,0,100
058487-22032013,Autumn,1100,Cooking-time,public_facility,Work_days,0,21,0,100
058488-22032013,Autumn,6200,Cooking-time,hospital,Work_days,0,20,0,100
059124-23032013,Autumn,1100,Office Hours,public_facility,Week_ends,0,6,0,100
059160-23032013,Autumn,6200,Cooking-time,apartment,Week_ends,0,41,0,100
059296-23032013,Autumn,6110,Office Hours,hotel,Week_ends,0,3,0,100
059406-23032013,Autumn,1100,Office Hours,rest_home,Week_ends,0,5,0,100
059443-23032013,Autumn,1120,Cooking-time,others,Week_ends,0,4,0,100
059870-24032013,Autumn,6990,Office Hours,tansport,Week_ends,0,5,0,100
059978-24032013,Autumn,6990,Office Hours,industry_facility,Week_ends,0,8,0,100
060278-25032013,Autumn,6200,Night-time,public_facility,Work_days,0,21,0,100
061167-26032013,Autumn,6110,Office Hours,hospital,Work_days,0,5,0,100
061194-26032013,Autumn,6990,Cooking-time,restaurant,Work_days,0,10,0,100
061389-26032013,Autumn,6120,Office Hours,industry_facility,Work_days,0,1,0,100
061596-27032013,Autumn,1100,Night-time,rest_home,Work_days,0,6,0,100
061985-27032013,Autumn,1120,Office Hours,hospital,Work_days,0,2,0,100
062338-28032013,Autumn,6900,Night-time,restaurant,Work_days,0,14,0,100
062356-28032013,Autumn,6990,Night-time,house,Work_days,0,10,0,100
062778-28032013,Autumn,6100,Office Hours,industry_facility,Work_days,0,14,0,100
063079-29032013,Autumn,6990,Night-time,tansport,Work_days,0,13,0,100
063109-29032013,Autumn,6100,Night-time,tansport,Work_days,0,30,0,100
063896-30032013,Autumn,6210,Cooking-time,office,Week_ends,0,3,0,100
064055-30032013,Autumn,6100,Cooking-time,house,Week_ends,0,16,0,100
064241-31032013,Autumn,1100,Night-time,hotel,Week_ends,0,5,0,100
064267-31032013,Autumn,6210,Night-time,office,Week_ends,0,3,0,100
064293-31032013,Autumn,6100,Night-time,house,Week_ends,0,11,0,100
064351-31032013,Autumn,6990,Night-time,tansport,Week_ends,0,5,0,100
064395-31032013,Autumn,6110,Cooking-time,apartment,Week_ends,0,17,0,100
064453-31032013,Autumn,6290,Cooking-time,school,Week_ends,0,1,0,100
064574-31032013,Autumn,7110,Office Hours,public_facility,Week_ends,0,4,0,100
064614-31032013,Autumn,1100,Cooking-time,tansport,Week_ends,0,4,0,100
064786-31032013,Autumn,6110,Night-time,hospital,Week_ends,0,1,0,100
064798-01042013,Autumn,1100,Night-time,hotel,Work_days,0,5,0,100
064836-01042013,Autumn,1100,Night-time,house,Work_days,0,5,0,100
065441-02042013,Autumn,6110,Office Hours,public_facility,Work_days,0,21,0,100
065973-03042013,Autumn,6100,Night-time,house,Work_days,0,10,0,100
066106-03042013,Autumn,6200,Office Hours,tansport,Work_days,0,2,0,100
066456-03042013,Autumn,1100,Night-time,office,Work_days,0,19,0,100
066514-04042013,Autumn,1120,Night-time,office,Work_days,0,4,0,100
066656-04042013,Autumn,6990,Office Hours,restaurant,Work_days,0,3,0,100
066941-04042013,Autumn,6200,Cooking-time,tansport,Work_days,0,4,0,100
067683-06042013,Autumn,6200,Night-time,tansport,Week_ends,0,1,0,100
067689-06042013,Autumn,1900,Night-time,others,Week_ends,0,1,0,100
067782-06042013,Autumn,6100,Office Hours,house,Week_ends,0,5,0,100
067942-06042013,Autumn,6990,Office Hours,restaurant,Week_ends,0,1,0,100
068109-06042013,Autumn,6990,Night-time,restaurant,Week_ends,0,2,0,100
068110-06042013,Autumn,6200,Night-time,industry_facility,Week_ends,0,4,0,100
068644-07042013,Autumn,6200,Night-time,school,Week_ends,0,8,0,100
069245-09042013,Autumn,6210,Night-time,office,Work_days,0,1,0,100
069314-09042013,Autumn,6210,Cooking-time,office,Work_days,0,3,0,100
069377-09042013,Autumn,6200,Office Hours,restaurant,Work_days,0,1,0,100
069696-10042013,Autumn,6200,Night-time,office,Work_days,0,13,0,100
070295-11042013,Autumn,1100,Night-time,industry_facility,Work_days,0,3,0,100
071899-13042013,Autumn,6110,Office Hours,public_facility,Week_ends,0,9,0,100
072210-14042013,Autumn,0,Night-time,school,Week_ends,0,1,0,100
072344-14042013,Autumn,6110,Office Hours,office,Week_ends,0,7,0,100
074030-17042013,Autumn,0,Cooking-time,others,Work_days,0,1,0,100
074076-17042013,Autumn,0,Cooking-time,house,Work_days,0,1,0,100
074096-17042013,Autumn,0,Office Hours,hotel,Work_days,0,1,0,100
074592-18042013,Autumn,1170,Night-time,others,Work_days,0,2,0,100
075039-18042013,Autumn,1100,Office Hours,tansport,Work_days,0,3,0,100
075452-19042013,Autumn,6100,Office Hours,house,Work_days,0,18,0,100
075882-20042013,Autumn,1120,Night-time,others,Week_ends,0,10,0,100
075895-20042013,Autumn,6110,Night-time,hotel,Week_ends,0,7,0,100
076256-20042013,Autumn,6200,Office Hours,hospital,Week_ends,0,2,0,100
076286-20042013,Autumn,6100,Office Hours,restaurant,Week_ends,0,1,0,100
076580-21042013,Autumn,1120,Night-time,office,Week_ends,0,2,0,100
076849-21042013,Autumn,6100,Office Hours,industry_facility,Week_ends,0,8,0,100
078264-24042013,Autumn,1100,Office Hours,hospital,Work_days,0,9,0,100
078687-24042013,Autumn,6110,Night-time,office,Work_days,0,11,0,100
079365-26042013,Autumn,1120,Night-time,hospital,Work_days,0,1,0,100
079702-26042013,Autumn,1900,Office Hours,others,Work_days,0,2,0,100
079748-26042013,Autumn,6110,Office Hours,industry_facility,Work_days,0,6,0,100
080516-27042013,Autumn,6110,Cooking-time,industry_facility,Week_ends,0,1,0,100
080558-27042013,Autumn,6990,Night-time,house,Week_ends,0,7,0,100
081243-29042013,Autumn,6900,Night-time,house,Work_days,0,6,0,100
081688-29042013,Autumn,6110,Office Hours,rest_home,Work_days,0,12,0,100
081738-29042013,Autumn,6110,Cooking-time,rest_home,Work_days,0,9,0,100
081792-29042013,Autumn,6110,Cooking-time,industry_facility,Work_days,0,13,0,100
082675-01052013,Autumn,6100,Cooking-time,restaurant,Work_days,0,5,0,100
082702-01052013,Autumn,0,Cooking-time,public_facility,Work_days,0,1,0,100
083043-01052013,Autumn,7110,Night-time,public_facility,Work_days,0,2,0,100
083557-03052013,Autumn,1900,Night-time,others,Work_days,0,2,0,100
083597-03052013,Autumn,0,Night-time,apartment,Work_days,0,1,0,100
084330-04052013,Autumn,6200,Cooking-time,tansport,Week_ends,0,2,0,100
084822-04052013,Autumn,6200,Cooking-time,house,Week_ends,0,1,0,100
085498-05052013,Autumn,0,Night-time,public_facility,Week_ends,0,1,0,100
086141-07052013,Autumn,1100,Office Hours,hotel,Work_days,0,9,0,100
086882-08052013,Autumn,1200,Office Hours,others,Work_days,0,4,0,100
088350-10052013,Autumn,6990,Cooking-time,tansport,Work_days,0,14,0,100
088527-11052013,Autumn,6200,Night-time,public_facility,Week_ends,0,7,0,100
088722-11052013,Autumn,6210,Office Hours,office,Week_ends,0,1,0,100
089061-11052013,Autumn,6900,Cooking-time,house,Week_ends,0,8,0,100
089349-12052013,Autumn,6100,Cooking-time,restaurant,Week_ends,0,3,0,100
089566-12052013,Autumn,0,Cooking-time,others,Week_ends,0,4,0,100
089817-12052013,Autumn,6200,Cooking-time,rest_home,Week_ends,0,11,0,100
089929-12052013,Autumn,6200,Night-time,hotel,Week_ends,0,7,0,100
091935-16052013,Autumn,1120,Cooking-time,industry_facility,Work_days,0,5,0,100
096809-24052013,Autumn,0,Cooking-time,hospital,Work_days,0,1,0,100
097259-25052013,Autumn,6110,Night-time,shopping_mall,Week_ends,0,3,0,100
097394-25052013,Autumn,1100,Office Hours,office,Week_ends,0,6,0,100
098541-27052013,Autumn,0,Office Hours,apartment,Work_days,0,1,0,100
100509-31052013,Autumn,6110,Night-time,hotel,Work_days,0,12,0,100
101640-02062013,Winter,6100,Cooking-time,restaurant,Week_ends,0,1,0,100
101687-02062013,Winter,6200,Office Hours,public_facility,Week_ends,0,10,0,100
102114-03062013,Winter,1200,Cooking-time,public_facility,Work_days,0,4,0,100
102169-03062013,Winter,6100,Office Hours,restaurant,Work_days,0,1,0,100
102819-05062013,Winter,1100,Night-time,rest_home,Work_days,0,1,0,100
103029-05062013,Winter,6110,Cooking-time,house,Work_days,0,3,0,100
103305-06062013,Winter,6100,Night-time,restaurant,Work_days,0,5,0,100
104010-07062013,Winter,1170,Cooking-time,others,Work_days,0,1,0,100
104808-08062013,Winter,6110,Office Hours,hotel,Week_ends,0,4,0,100
104914-08062013,Winter,1100,Cooking-time,rest_home,Week_ends,0,3,0,100
105210-09062013,Winter,6900,Office Hours,restaurant,Week_ends,0,1,0,100
105301-09062013,Winter,6200,Cooking-time,hospital,Week_ends,0,5,0,100
105798-10062013,Winter,1100,Cooking-time,tansport,Work_days,0,9,0,100
107254-13062013,Winter,1120,Night-time,office,Work_days,0,2,0,100
108626-15062013,Winter,6110,Cooking-time,hotel,Week_ends,0,8,0,100
108730-16062013,Winter,6110,Night-time,office,Week_ends,0,6,0,100
108790-16062013,Winter,6290,Night-time,school,Week_ends,0,3,0,100
108877-16062013,Winter,6290,Office Hours,school,Week_ends,0,1,0,100
109160-17062013,Winter,7110,Night-time,public_facility,Work_days,0,2,0,100
109183-17062013,Winter,6900,Night-time,restaurant,Work_days,0,5,0,100
109878-18062013,Winter,1900,Cooking-time,apartment,Work_days,0,1,0,100
111336-21062013,Winter,6990,Office Hours,restaurant,Work_days,0,7,0,100
111852-22062013,Winter,6990,Cooking-time,tansport,Week_ends,0,6,0,100
112503-23062013,Winter,6900,Night-time,restaurant,Week_ends,0,3,0,100
112742-23062013,Winter,1100,Office Hours,tansport,Week_ends,0,2,0,100
112763-23062013,Winter,7110,Office Hours,public_facility,Week_ends,0,4,0,100
112924-23062013,Winter,7110,Night-time,public_facility,Week_ends,0,1,0,100
113307-24062013,Winter,6290,Office Hours,school,Work_days,0,1,0,100
113334-24062013,Winter,6120,Office Hours,office,Work_days,0,1,0,100
113849-25062013,Winter,6210,Office Hours,office,Work_days,0,1,0,100
114162-26062013,Winter,6200,Night-time,public_facility,Work_days,0,13,0,100
115336-28062013,Winter,7110,Office Hours,public_facility,Work_days,0,4,0,100
115941-29062013,Winter,1100,Office Hours,hotel,Week_ends,0,4,0,100
116015-29062013,Winter,0,Office Hours,apartment,Week_ends,0,2,0,100
116053-29062013,Winter,0,Cooking-time,school,Week_ends,0,1,0,100
116205-30062013,Winter,0,Night-time,apartment,Week_ends,0,1,0,100
118367-04072013,Winter,6990,Night-time,tansport,Work_days,0,10,0,100
119192-05072013,Winter,6120,Office Hours,industry_facility,Work_days,0,1,0,100
119922-07072013,Winter,6110,Night-time,apartment,Week_ends,0,6,0,100
119988-07072013,Winter,1100,Night-time,hotel,Week_ends,0,4,0,100
120009-07072013,Winter,1120,Cooking-time,hospital,Week_ends,0,2,0,100
120523-08072013,Winter,6200,Night-time,tansport,Work_days,0,1,0,100
120525-08072013,Winter,6200,Night-time,house,Work_days,0,7,0,100
121869-10072013,Winter,8990,Cooking-time,others,Work_days,0,1,0,100
123979-14072013,Winter,6110,Night-time,rest_home,Week_ends,0,1,0,100
124615-15072013,Winter,1900,Office Hours,apartment,Work_days,0,1,0,100
127118-20072013,Winter,1900,Office Hours,others,Week_ends,0,2,0,100
127536-21072013,Winter,6200,Night-time,shopping_mall,Week_ends,0,10,0,100
127967-21072013,Winter,1900,Night-time,shopping_mall,Week_ends,0,1,0,100
129390-24072013,Winter,1120,Office Hours,office,Work_days,0,2,0,100
130237-26072013,Winter,1120,Cooking-time,industry_facility,Work_days,0,2,0,100
130820-27072013,Winter,1100,Cooking-time,industry_facility,Week_ends,0,1,0,100
134702-03082013,Winter,1100,Night-time,rest_home,Week_ends,0,3,0,100
134743-03082013,Winter,1120,Cooking-time,others,Week_ends,0,4,0,100
138761-10082013,Winter,1200,Office Hours,others,Week_ends,0,1,0,100
139192-10082013,Winter,6200,Night-time,public_facility,Week_ends,0,5,0,100
139205-10082013,Winter,1100,Night-time,tansport,Week_ends,0,4,0,100
142503-15082013,Winter,6990,Cooking-time,restaurant,Work_days,0,9,0,100
143735-17082013,Winter,1100,Cooking-time,tansport,Week_ends,0,2,0,100
143741-17082013,Winter,1900,Cooking-time,others,Week_ends,0,3,0,100
143799-17082013,Winter,1100,Office Hours,shopping_mall,Week_ends,0,10,0,100
145682-20082013,Winter,6110,Night-time,shopping_mall,Work_days,0,6,0,100
152757-30082013,Winter,1100,Night-time,tansport,Work_days,0,7,0,100
155108-01092013,Spring,1100,Cooking-time,tansport,Week_ends,0,3,0,100
156073-03092013,Spring,1170,Office Hours,others,Work_days,0,1,0,100
157709-05092013,Spring,6200,Office Hours,hospital,Work_days,0,18,0,100
158691-07092013,Spring,1100,Night-time,restaurant,Week_ends,0,3,0,100
162869-11092013,Spring,6210,Cooking-time,office,Work_days,0,3,0,100
163603-12092013,Spring,1120,Cooking-time,apartment,Work_days,0,1,0,100
165023-13092013,Spring,1120,Cooking-time,office,Work_days,0,2,0,100
165212-14092013,Spring,6100,Night-time,restaurant,Week_ends,0,1,0,100
166942-16092013,Spring,6100,Night-time,restaurant,Work_days,0,5,0,100
169021-20092013,Spring,1100,Office Hours,restaurant,Work_days,0,1,0,100
169048-20092013,Spring,1120,Office Hours,industry_facility,Work_days,0,2,0,100
169383-21092013,Spring,6110,Cooking-time,house,Week_ends,0,1,0,100
169708-21092013,Spring,6120,Office Hours,others,Week_ends,0,3,0,100
169845-21092013,Spring,6900,Cooking-time,restaurant,Week_ends,0,4,0,100
170242-22092013,Spring,6110,Cooking-time,industry_facility,Week_ends,0,3,0,100
170452-22092013,Spring,1120,Office Hours,others,Week_ends,0,1,0,100
170960-23092013,Spring,1100,Cooking-time,restaurant,Work_days,0,3,0,100
171327-23092013,Spring,0,Office Hours,office,Work_days,0,2,0,100
172375-25092013,Spring,0,Cooking-time,hospital,Work_days,0,4,0,100
174879-27092013,Spring,1200,Cooking-time,shopping_mall,Work_days,0,1,0,100
180029-02102013,Spring,6200,Night-time,house,Work_days,0,2,0,100
182147-05102013,Spring,6100,Night-time,house,Week_ends,0,1,0,100
182199-05102013,Spring,6200,Cooking-time,rest_home,Week_ends,0,10,0,100
182228-05102013,Spring,6200,Office Hours,restaurant,Week_ends,0,1,0,100
183324-06102013,Spring,1100,Office Hours,public_facility,Week_ends,0,1,0,100
184857-08102013,Spring,6120,Night-time,others,Work_days,0,2,0,100
187864-11102013,Spring,6120,Cooking-time,industry_facility,Work_days,0,4,0,100
188435-12102013,Spring,6110,Office Hours,hospital,Week_ends,0,2,0,100
188575-12102013,Spring,1100,Cooking-time,rest_home,Week_ends,0,3,0,100
188836-12102013,Spring,1100,Night-time,public_facility,Week_ends,0,5,0,100
191731-15102013,Spring,1120,Night-time,hospital,Work_days,0,2,0,100
191902-15102013,Spring,1120,Office Hours,shopping_mall,Work_days,0,1,0,100
197928-19102013,Spring,1120,Night-time,industry_facility,Week_ends,0,1,0,100
198587-19102013,Spring,6900,Office Hours,industry_facility,Week_ends,0,8,0,100
200090-21102013,Spring,1200,Cooking-time,others,Work_days,0,2,0,100
205134-25102013,Spring,6200,Night-time,industry_facility,Work_days,0,1,0,100
205429-26102013,Spring,7110,Office Hours,public_facility,Week_ends,0,2,0,100
206735-27102013,Spring,6200,Cooking-time,industry_facility,Week_ends,0,3,0,100
208469-29102013,Spring,6200,Office Hours,industry_facility,Work_days,0,4,0,100
208853-30102013,Spring,1120,Office Hours,apartment,Work_days,0,2,0,100
210826-02112013,Spring,6120,Cooking-time,others,Week_ends,0,1,0,100
210869-02112013,Spring,6110,Cooking-time,hospital,Week_ends,0,3,0,100
210954-02112013,Spring,6110,Office Hours,apartment,Week_ends,0,3,0,100
214279-05112013,Spring,0,Office Hours,hotel,Work_days,0,1,0,100
219215-10112013,Spring,0,Office Hours,others,Week_ends,0,2,0,100
219235-10112013,Spring,6110,Office Hours,hotel,Week_ends,0,1,0,100
219361-10112013,Spring,1100,Cooking-time,house,Week_ends,0,1,0,100
220396-12112013,Spring,1120,Office Hours,public_facility,Work_days,0,1,0,100
221442-14112013,Spring,1120,Cooking-time,industry_facility,Work_days,0,1,0,100
221466-14112013,Spring,1120,Office Hours,office,Work_days,0,3,0,100
222679-16112013,Spring,1200,Night-time,others,Week_ends,0,1,0,100
224467-19112013,Spring,0,Night-time,others,Work_days,0,6,0,100
227416-24112013,Spring,0,Night-time,apartment,Week_ends,0,1,0,100
230719-30112013,Spring,7110,Office Hours,others,Week_ends,0,3,0,100
230753-30112013,Spring,6200,Office Hours,industry_facility,Week_ends,0,1,0,100
231027-30112013,Spring,6290,Night-time,school,Week_ends,0,1,0,100
231183-01122013,Summer,6110,Cooking-time,industry_facility,Week_ends,0,3,0,100
232176-03122013,Summer,1120,Office Hours,others,Work_days,0,5,0,100
232472-03122013,Summer,6290,Office Hours,school,Work_days,0,1,0,100
234686-06122013,Summer,1200,Cooking-time,hotel,Work_days,0,2,0,100
234780-06122013,Summer,1200,Night-time,hotel,Work_days,0,2,0,100
235343-07122013,Summer,1200,Cooking-time,hotel,Week_ends,0,3,0,100
236166-09122013,Summer,6120,Night-time,others,Work_days,0,1,0,100
236247-09122013,Summer,1120,Cooking-time,office,Work_days,0,6,0,100
240563-15122013,Summer,6110,Cooking-time,rest_home,Week_ends,0,4,0,100
241556-17122013,Summer,6120,Cooking-time,office,Work_days,0,1,0,100
243924-20122013,Summer,0,Office Hours,school,Work_days,0,1,0,100
244637-21122013,Summer,6200,Office Hours,public_facility,Week_ends,0,4,0,100
245269-22122013,Summer,6110,Night-time,shopping_mall,Week_ends,0,2,0,100
246616-24122013,Summer,1200,Night-time,others,Work_days,0,3,0,100
249281-28122013,Summer,1900,Night-time,shopping_mall,Week_ends,0,1,0,100
000238-01012014,Summer,6200,Night-time,tansport,Work_days,0,3,0,100
002189-04012014,Summer,1100,Night-time,tansport,Week_ends,0,2,0,100
005607-09012014,Summer,6990,Office Hours,tansport,Work_days,0,6,0,100
006062-10012014,Summer,6100,Night-time,restaurant,Work_days,0,3,0,100
006935-11012014,Summer,6990,Office Hours,house,Week_ends,0,4,0,100
007277-12012014,Summer,0,Cooking-time,school,Week_ends,0,1,0,100
007685-12012014,Summer,6110,Night-time,rest_home,Week_ends,0,1,0,100
009964-16012014,Summer,6210,Office Hours,office,Work_days,0,1,0,100
011746-18012014,Summer,0,Cooking-time,office,Week_ends,0,1,0,100
012714-19012014,Summer,6200,Night-time,house,Week_ends,0,1,0,100
013590-20012014,Summer,1900,Office Hours,shopping_mall,Work_days,0,1,0,100
015777-23012014,Summer,1120,Office Hours,office,Work_days,0,5,0,100
016486-24012014,Summer,0,Night-time,apartment,Work_days,0,4,0,100
018512-28012014,Summer,6120,Cooking-time,industry_facility,Work_days,0,2,0,100
021641-01022014,Summer,0,Office Hours,others,Week_ends,0,1,0,100
022764-03022014,Summer,0,Night-time,hotel,Work_days,0,2,0,100
025120-06022014,Summer,0,Cooking-time,industry_facility,Work_days,0,1,0,100
026371-08022014,Summer,1120,Cooking-time,office,Week_ends,0,1,0,100
028073-10022014,Summer,7110,Office Hours,others,Work_days,0,1,0,100
031006-15022014,Summer,7110,Night-time,others,Week_ends,0,1,0,100
031535-15022014,Summer,0,Cooking-time,shopping_mall,Week_ends,0,1,0,100
031851-16022014,Summer,6120,Cooking-time,others,Week_ends,0,1,0,100
032133-16022014,Summer,6110,Office Hours,office,Week_ends,0,1,0,100
032285-16022014,Summer,6110,Cooking-time,house,Week_ends,0,1,0,100
032832-17022014,Summer,1100,Cooking-time,house,Work_days,0,2,0,100
033050-18022014,Summer,1900,Office Hours,apartment,Work_days,0,1,0,100
034206-20022014,Summer,6110,Night-time,house,Work_days,0,1,0,100
034294-20022014,Summer,1900,Cooking-time,apartment,Work_days,0,2,0,100
036054-23022014,Summer,1100,Office Hours,tansport,Week_ends,0,1,0,100
036693-24022014,Summer,1120,Cooking-time,apartment,Work_days,0,2,0,100
037114-25022014,Summer,2270,Office Hours,others,Work_days,0,1,0,100
037290-26022014,Summer,6210,Night-time,office,Work_days,0,1,0,100
037864-27022014,Summer,0,Night-time,public_facility,Work_days,0,1,0,100
038064-27022014,Summer,7110,Cooking-time,others,Work_days,0,2,0,100
039153-01032014,Autumn,6990,Cooking-time,tansport,Week_ends,0,8,0,100
039704-02032014,Autumn,6110,Cooking-time,hospital,Week_ends,0,1,0,100
040190-03032014,Autumn,6210,Office Hours,office,Work_days,0,3,0,100
040684-04032014,Autumn,6110,Office Hours,shopping_mall,Work_days,0,7,0,100
040715-04032014,Autumn,1120,Cooking-time,office,Work_days,0,4,0,100
041396-05032014,Autumn,1100,Office Hours,industry_facility,Work_days,0,3,0,100
041803-06032014,Autumn,0,Cooking-time,school,Work_days,0,1,0,100
043266-08032014,Autumn,1100,Office Hours,hospital,Week_ends,0,1,0,100
043487-09032014,Autumn,1120,Night-time,apartment,Week_ends,0,1,0,100
043624-09032014,Autumn,0,Office Hours,public_facility,Week_ends,0,1,0,100
043670-09032014,Autumn,1100,Cooking-time,hospital,Week_ends,0,1,0,100
044477-11032014,Autumn,6990,Night-time,restaurant,Work_days,0,4,0,100
047225-15032014,Autumn,6200,Office Hours,hotel,Week_ends,0,6,0,100
047425-15032014,Autumn,6900,Night-time,restaurant,Week_ends,0,3,0,100
047706-16032014,Autumn,0,Office Hours,apartment,Week_ends,0,1,0,100
