incident_number,season,alarm_type,repeat_count,build_type,true_alarm,false_alarm,true_percentage,false_percentage
722594-06122012,Summer,6100,2,hospital,0,33,0,100
722656-06122012,Summer,6900,7,others,0,2,0,100
722684-06122012,Summer,6900,8,others,0,2,0,100
722948-06122012,Summer,6100,1,public_facility,0,69,0,100
722982-06122012,Summer,6990,3,apartment,0,9,0,100
723620-07122012,Summer,1120,0,industry_facility,0,8,0,100
723854-07122012,Summer,6900,1,public_facility,0,61,0,100
724199-08122012,Summer,6200,1,school,0,16,0,100
724512-08122012,Summer,6200,1,house,0,2,0,100
724558-08122012,Summer,1100,2,others,0,15,0,100
724698-08122012,Summer,6110,0,restaurant,0,3,0,100
724707-08122012,Summer,6200,1,hospital,0,8,0,100
724713-08122012,Summer,6200,2,hospital,0,2,0,100
724864-08122012,Summer,1100,1,school,0,28,0,100
725036-09122012,Summer,1100,2,school,0,5,0,100
725056-09122012,Summer,6900,1,rest_home,0,88,0,100
725068-09122012,Summer,6100,1,industry_facility,0,10,0,100
725094-09122012,Summer,6100,2,shopping_mall,0,9,0,100
725131-09122012,Summer,6100,2,industry_facility,0,2,0,100
725547-09122012,Summer,1100,1,shopping_mall,0,19,0,100
726281-11122012,Summer,1900,0,apartment,0,15,0,100
726361-11122012,Summer,6100,1,restaurant,0,3,0,100
726937-12122012,Summer,6100,1,tansport,0,19,0,100
727896-13122012,Summer,1100,0,rest_home,0,23,0,100
728298-14122012,Summer,6100,1,office,0,31,0,100
728327-14122012,Summer,6990,3,others,0,27,0,100
728334-14122012,Summer,6990,1,rest_home,0,68,0,100
728351-14122012,Summer,6990,2,rest_home,0,11,0,100
728521-14122012,Summer,1120,0,hospital,0,6,0,100
728643-14122012,Summer,6110,0,shopping_mall,0,16,0,100
728917-14122012,Summer,1100,0,hospital,0,18,0,100
729086-15122012,Summer,6200,1,public_facility,0,14,0,100
729347-15122012,Summer,6200,1,apartment,0,25,0,100
729667-16122012,Summer,6900,2,shopping_mall,0,13,0,100
729762-16122012,Summer,6900,3,shopping_mall,0,2,0,100
729921-16122012,Summer,6100,1,hotel,0,50,0,100
730552-17122012,Summer,6990,3,rest_home,0,1,0,100
730686-17122012,Summer,6110,0,industry_facility,0,30,0,100
732049-19122012,Summer,1100,2,public_facility,0,3,0,100
732112-19122012,Summer,6110,2,others,0,5,0,100
732385-19122012,Summer,6990,0,restaurant,0,24,0,100
732427-19122012,Summer,1100,3,public_facility,0,1,0,100
732434-19122012,Summer,1100,4,public_facility,0,1,0,100
732621-19122012,Summer,6100,3,hospital,0,7,0,100
732681-19122012,Summer,6990,1,house,0,13,0,100
732716-19122012,Summer,6100,4,hospital,0,4,0,100
732764-20122012,Summer,1100,5,public_facility,0,1,0,100
732820-20122012,Summer,6110,2,school,0,25,0,100
732873-20122012,Summer,6900,2,school,0,36,0,100
732887-20122012,Summer,6110,0,rest_home,0,18,0,100
733094-20122012,Summer,6110,3,school,0,6,0,100
733651-21122012,Summer,6110,4,school,0,1,0,100
733666-21122012,Summer,6110,5,school,0,2,0,100
733749-21122012,Summer,6110,6,school,0,2,0,100
734218-21122012,Summer,6110,7,school,0,1,0,100
734416-22122012,Summer,1100,3,others,0,3,0,100
734741-22122012,Summer,6900,1,tansport,0,33,0,100
735528-23122012,Summer,0,0,apartment,0,7,0,100
735869-23122012,Summer,1120,1,others,0,3,0,100
737925-25122012,Summer,6100,3,shopping_mall,0,3,0,100
737928-26122012,Summer,6990,2,office,0,16,0,100
738110-26122012,Summer,1100,2,shopping_mall,0,5,0,100
738130-26122012,Summer,0,0,house,0,2,0,100
738200-26122012,Summer,6100,4,shopping_mall,0,1,0,100
738381-27122012,Summer,1100,1,office,0,15,0,100
738391-27122012,Summer,6100,5,shopping_mall,0,1,0,100
738432-27122012,Summer,6100,6,shopping_mall,0,1,0,100
738513-27122012,Summer,1900,0,public_facility,0,3,0,100
738598-27122012,Summer,1900,1,public_facility,0,1,0,100
738765-27122012,Summer,6100,7,shopping_mall,0,1,0,100
738964-28122012,Summer,1900,2,public_facility,0,1,0,100
738992-28122012,Summer,1100,1,hotel,0,7,0,100
739340-28122012,Summer,6100,8,shopping_mall,0,1,0,100
739987-29122012,Summer,6200,1,office,0,10,0,100
740138-29122012,Summer,6900,3,school,0,11,0,100
740438-30122012,Summer,6900,4,school,0,3,0,100
740864-30122012,Summer,6900,5,school,0,1,0,100
000241-01012013,Summer,6900,3,public_facility,0,2,0,100
001693-03012013,Summer,1100,2,hotel,0,3,0,100
001792-03012013,Summer,1100,3,hotel,0,2,0,100
003165-04012013,Summer,0,0,others,0,16,0,100
003198-04012013,Summer,1120,1,hospital,0,1,0,100
003327-05012013,Summer,6900,1,house,0,8,0,100
003673-05012013,Summer,6990,1,restaurant,0,2,0,100
004383-06012013,Summer,6990,2,restaurant,0,1,0,100
004839-06012013,Summer,1100,1,rest_home,0,3,0,100
005592-07012013,Summer,6900,2,rest_home,0,16,0,100
006273-08012013,Summer,1120,0,shopping_mall,0,2,0,100
007140-08012013,Summer,6900,3,rest_home,0,5,0,100
007523-08012013,Summer,1170,0,others,0,1,0,100
008033-09012013,Summer,6990,2,shopping_mall,0,27,0,100
008147-09012013,Summer,6990,3,shopping_mall,0,14,0,100
008337-09012013,Summer,6900,4,rest_home,0,2,0,100
008703-09012013,Summer,6110,1,public_facility,0,9,0,100
008706-09012013,Summer,6900,5,rest_home,0,2,0,100
008835-09012013,Summer,6900,6,rest_home,0,1,0,100
009098-10012013,Summer,6900,2,house,0,2,0,100
009128-10012013,Summer,6990,2,school,0,7,0,100
009741-10012013,Summer,1900,1,others,0,9,0,100
010298-11012013,Summer,6110,0,house,0,4,0,100
010585-11012013,Summer,6110,1,house,0,1,0,100
010836-11012013,Summer,6100,2,rest_home,0,8,0,100
010988-11012013,Summer,1900,2,others,0,2,0,100
013636-13012013,Summer,1100,4,hotel,0,1,0,100
013696-14012013,Summer,1100,5,hotel,0,1,0,100
013764-14012013,Summer,1100,6,hotel,0,1,0,100
013782-14012013,Summer,1100,7,hotel,0,1,0,100
013877-14012013,Summer,6990,2,public_facility,0,9,0,100
014862-15012013,Summer,1200,0,others,0,7,0,100
015107-16012013,Summer,1100,1,house,0,2,0,100
015108-16012013,Summer,6100,1,house,0,6,0,100
015121-16012013,Summer,6990,3,hotel,0,7,0,100
015150-16012013,Summer,6990,4,hotel,0,3,0,100
015166-16012013,Summer,6900,2,tansport,0,5,0,100
015208-16012013,Summer,6120,0,others,0,9,0,100
015561-16012013,Summer,1120,0,hotel,0,3,0,100
015757-17012013,Summer,6900,2,apartment,0,15,0,100
015775-17012013,Summer,6900,3,apartment,0,2,0,100
017085-18012013,Summer,6110,1,apartment,0,15,0,100
017402-18012013,Summer,6100,3,apartment,0,3,0,100
017474-18012013,Summer,6110,4,apartment,0,1,0,100
