incident_number,season,alarm_type,repeat_count,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
619215-17072012,Winter,6990,1,office,Work_days,0,48,0,100
619240-17072012,Winter,6100,2,rest_home,Work_days,0,9,0,100
619332-17072012,Winter,6990,4,apartment,Work_days,0,3,0,100
619334-17072012,Winter,6990,5,apartment,Work_days,0,1,0,100
619336-17072012,Winter,6990,6,apartment,Work_days,0,1,0,100
619344-17072012,Winter,6990,7,apartment,Work_days,0,1,0,100
619610-18072012,Winter,6990,8,apartment,Work_days,0,1,0,100
620336-19072012,Winter,6990,2,school,Work_days,0,4,0,100
620418-19072012,Winter,6990,3,school,Work_days,0,2,0,100
620889-20072012,Winter,1100,0,restaurant,Work_days,0,3,0,100
620945-20072012,Winter,6900,2,hospital,Work_days,0,16,0,100
621079-21072012,Winter,6200,1,office,Week_ends,0,2,0,100
621267-21072012,Winter,6110,1,school,Week_ends,0,13,0,100
621298-21072012,Winter,6100,1,office,Week_ends,0,7,0,100
621302-21072012,Winter,6110,2,school,Week_ends,0,1,0,100
621453-21072012,Winter,6900,3,others,Week_ends,0,8,0,100
621509-21072012,Winter,6990,1,public_facility,Week_ends,0,31,0,100
621628-22072012,Winter,1200,0,apartment,Week_ends,0,1,0,100
621641-22072012,Winter,1100,1,apartment,Week_ends,0,5,0,100
621642-22072012,Winter,1200,1,apartment,Week_ends,0,1,0,100
622109-23072012,Winter,6200,1,others,Work_days,0,21,0,100
622375-23072012,Winter,1100,0,tansport,Work_days,0,22,0,100
622533-24072012,Winter,1900,0,others,Work_days,0,14,0,100
622656-24072012,Winter,6100,3,rest_home,Work_days,0,7,0,100
622802-24072012,Winter,6990,2,office,Work_days,0,7,0,100
623010-25072012,Winter,1100,1,school,Work_days,0,14,0,100
623059-25072012,Winter,6900,2,rest_home,Work_days,0,5,0,100
624151-27072012,Winter,1120,2,others,Work_days,0,2,0,100
624537-28072012,Winter,6990,2,office,Week_ends,0,4,0,100
624539-28072012,Winter,1100,0,house,Week_ends,0,1,0,100
624582-28072012,Winter,6990,3,office,Week_ends,0,2,0,100
624621-28072012,Winter,6990,4,office,Week_ends,0,2,0,100
624717-28072012,Winter,6990,2,hotel,Week_ends,0,4,0,100
624876-28072012,Winter,6900,1,office,Week_ends,0,13,0,100
624901-28072012,Winter,6200,1,shopping_mall,Week_ends,0,9,0,100
625028-28072012,Winter,1100,2,others,Week_ends,0,10,0,100
625161-29072012,Winter,6900,2,office,Week_ends,0,1,0,100
625663-30072012,Winter,6200,1,hotel,Work_days,0,7,0,100
625734-30072012,Winter,6990,2,public_facility,Work_days,0,4,0,100
626267-31072012,Winter,1120,0,hotel,Work_days,0,3,0,100
626340-31072012,Winter,6100,1,shopping_mall,Work_days,0,31,0,100
626426-31072012,Winter,6990,3,hospital,Work_days,0,7,0,100
626786-01082012,Winter,6100,5,others,Work_days,0,2,0,100
627055-01082012,Winter,1200,0,office,Work_days,0,2,0,100
627197-01082012,Winter,1200,1,office,Work_days,0,1,0,100
627205-01082012,Winter,6110,1,industry_facility,Work_days,0,4,0,100
627266-01082012,Winter,1200,2,office,Work_days,0,1,0,100
627308-02082012,Winter,1200,3,others,Work_days,0,1,0,100
627325-02082012,Winter,6100,6,others,Work_days,0,1,0,100
627383-02082012,Winter,6100,0,restaurant,Work_days,0,12,0,100
627652-02082012,Winter,6100,7,others,Work_days,0,1,0,100
627694-02082012,Winter,6990,3,shopping_mall,Work_days,0,8,0,100
627812-02082012,Winter,1200,4,office,Work_days,0,1,0,100
627895-03082012,Winter,6100,8,others,Work_days,0,1,0,100
627919-03082012,Winter,6990,3,public_facility,Work_days,0,2,0,100
628745-04082012,Winter,6200,1,hospital,Week_ends,0,1,0,100
629238-04082012,Winter,6990,3,shopping_mall,Week_ends,0,2,0,100
629258-04082012,Winter,6110,0,rest_home,Week_ends,0,3,0,100
629438-05082012,Winter,6990,4,shopping_mall,Week_ends,0,2,0,100
629467-05082012,Winter,6990,5,shopping_mall,Week_ends,0,1,0,100
629576-05082012,Winter,6900,1,hospital,Week_ends,0,14,0,100
631001-07082012,Winter,6100,1,industry_facility,Work_days,0,7,0,100
632051-09082012,Winter,6900,1,public_facility,Work_days,0,23,0,100
632812-10082012,Winter,6200,1,rest_home,Work_days,0,8,0,100
632818-10082012,Winter,6990,4,shopping_mall,Work_days,0,3,0,100
632839-10082012,Winter,6990,5,shopping_mall,Work_days,0,1,0,100
634101-11082012,Winter,6900,1,rest_home,Week_ends,0,15,0,100
634103-11082012,Winter,6900,2,rest_home,Week_ends,0,3,0,100
634199-11082012,Winter,6100,2,apartment,Week_ends,0,4,0,100
634291-11082012,Winter,6110,0,office,Week_ends,0,17,0,100
634564-11082012,Winter,6900,1,industry_facility,Week_ends,0,3,0,100
634600-11082012,Winter,6100,1,shopping_mall,Week_ends,0,9,0,100
634684-11082012,Winter,6900,1,restaurant,Week_ends,0,1,0,100
634758-11082012,Winter,6200,1,apartment,Week_ends,0,10,0,100
634857-12082012,Winter,6200,1,rest_home,Week_ends,0,2,0,100
634868-12082012,Winter,1100,3,others,Week_ends,0,3,0,100
634883-12082012,Winter,6900,2,shopping_mall,Week_ends,0,2,0,100
635333-12082012,Winter,6120,0,industry_facility,Week_ends,0,3,0,100
635379-12082012,Winter,1100,4,others,Week_ends,0,1,0,100
636072-14082012,Winter,1100,3,others,Work_days,0,4,0,100
636182-14082012,Winter,6100,1,house,Work_days,0,6,0,100
637517-16082012,Winter,1190,0,office,Work_days,0,1,0,100
638388-17082012,Winter,6110,2,public_facility,Work_days,0,1,0,100
638961-17082012,Winter,6110,3,public_facility,Work_days,0,1,0,100
639005-18082012,Winter,6110,4,public_facility,Week_ends,0,1,0,100
639900-19082012,Winter,6200,0,house,Week_ends,0,7,0,100
641422-21082012,Winter,6110,1,rest_home,Work_days,0,1,0,100
641482-21082012,Winter,1200,0,apartment,Work_days,0,1,0,100
642430-22082012,Winter,6100,4,hospital,Work_days,0,1,0,100
644239-25082012,Winter,1120,0,apartment,Week_ends,0,1,0,100
644735-25082012,Winter,6100,3,others,Week_ends,0,5,0,100
644757-25082012,Winter,6100,4,others,Week_ends,0,1,0,100
644809-25082012,Winter,6110,1,public_facility,Week_ends,0,3,0,100
644864-25082012,Winter,6110,2,public_facility,Week_ends,0,1,0,100
645140-26082012,Winter,6100,2,industry_facility,Week_ends,0,1,0,100
645891-27082012,Winter,6990,2,rest_home,Work_days,0,5,0,100
646591-28082012,Winter,6990,3,others,Work_days,0,21,0,100
646614-28082012,Winter,6990,4,others,Work_days,0,13,0,100
646972-29082012,Winter,6990,6,others,Work_days,0,7,0,100
648630-31082012,Winter,1120,3,others,Work_days,0,1,0,100
648702-31082012,Winter,6900,3,hospital,Work_days,0,8,0,100
648870-31082012,Winter,6200,2,others,Work_days,0,2,0,100
649184-01092012,Spring,1900,1,others,Week_ends,0,2,0,100
649241-01092012,Spring,1100,0,office,Week_ends,0,19,0,100
649287-01092012,Spring,1900,0,industry_facility,Week_ends,0,1,0,100
649288-01092012,Spring,1120,0,others,Week_ends,0,12,0,100
649298-01092012,Spring,6990,2,others,Week_ends,0,24,0,100
649311-01092012,Spring,6100,0,tansport,Week_ends,0,33,0,100
649314-01092012,Spring,1100,0,restaurant,Week_ends,0,5,0,100
649324-01092012,Spring,6900,1,rest_home,Week_ends,0,19,0,100
649336-01092012,Spring,6990,1,public_facility,Week_ends,0,24,0,100
649472-01092012,Spring,1100,0,hotel,Week_ends,0,7,0,100
649480-01092012,Spring,6990,3,others,Week_ends,0,5,0,100
649607-01092012,Spring,6900,2,apartment,Week_ends,0,3,0,100
649637-01092012,Spring,6110,0,office,Week_ends,0,13,0,100
649644-01092012,Spring,6290,0,school,Week_ends,0,2,0,100
649774-01092012,Spring,6990,4,others,Week_ends,0,2,0,100
649891-01092012,Spring,6900,2,others,Week_ends,0,16,0,100
649951-01092012,Spring,6990,1,shopping_mall,Week_ends,0,28,0,100
650022-01092012,Spring,6990,0,restaurant,Week_ends,0,5,0,100
650023-01092012,Spring,6110,0,hotel,Week_ends,0,11,0,100
650241-02092012,Spring,6990,1,office,Week_ends,0,17,0,100
650300-02092012,Spring,1100,1,others,Week_ends,0,12,0,100
650413-02092012,Spring,6200,0,public_facility,Week_ends,0,27,0,100
650434-02092012,Spring,6900,1,hotel,Week_ends,0,19,0,100
650467-02092012,Spring,6990,0,tansport,Week_ends,0,7,0,100
650536-02092012,Spring,6900,1,shopping_mall,Week_ends,0,16,0,100
650581-02092012,Spring,6100,1,tansport,Week_ends,0,5,0,100
650652-02092012,Spring,1100,0,tansport,Week_ends,0,7,0,100
650814-02092012,Spring,1120,0,hotel,Week_ends,0,1,0,100
650912-03092012,Spring,6900,2,hospital,Work_days,0,12,0,100
650965-03092012,Spring,6990,1,industry_facility,Work_days,0,19,0,100
650990-03092012,Spring,6990,1,hospital,Work_days,0,59,0,100
651062-03092012,Spring,6110,0,hospital,Work_days,0,26,0,100
651118-03092012,Spring,6900,1,office,Work_days,0,19,0,100
651257-03092012,Spring,6990,2,apartment,Work_days,0,10,0,100
651617-03092012,Spring,6900,1,house,Work_days,0,5,0,100
651623-03092012,Spring,6100,1,hospital,Work_days,0,112,0,100
651659-03092012,Spring,6110,1,apartment,Work_days,0,6,0,100
651687-03092012,Spring,6900,2,others,Work_days,0,51,0,100
651970-04092012,Spring,6990,2,others,Work_days,0,62,0,100
652013-04092012,Spring,6200,1,others,Work_days,0,27,0,100
652087-04092012,Spring,6900,2,house,Work_days,0,2,0,100
652093-04092012,Spring,1100,1,office,Work_days,0,10,0,100
652106-04092012,Spring,1100,2,office,Work_days,0,6,0,100
652277-04092012,Spring,6200,2,others,Work_days,0,5,0,100
652793-04092012,Spring,6100,1,public_facility,Work_days,0,40,0,100
653329-05092012,Spring,6100,2,others,Work_days,0,28,0,100
653376-05092012,Spring,6100,3,others,Work_days,0,6,0,100
653483-05092012,Spring,1100,0,public_facility,Work_days,0,51,0,100
653653-05092012,Spring,1100,1,shopping_mall,Work_days,0,17,0,100
653664-05092012,Spring,1100,1,public_facility,Work_days,0,9,0,100
653703-05092012,Spring,1900,1,others,Work_days,0,2,0,100
653741-05092012,Spring,6100,2,hotel,Work_days,0,6,0,100
653814-05092012,Spring,6990,3,apartment,Work_days,0,2,0,100
653868-05092012,Spring,6100,3,hotel,Work_days,0,3,0,100
653912-05092012,Spring,1100,2,public_facility,Work_days,0,5,0,100
653976-06092012,Spring,6990,4,apartment,Work_days,0,2,0,100
654129-06092012,Spring,6900,1,rest_home,Work_days,0,44,0,100
654130-06092012,Spring,6100,1,office,Work_days,0,12,0,100
654239-06092012,Spring,6110,1,school,Work_days,0,46,0,100
654301-06092012,Spring,6900,1,industry_facility,Work_days,0,25,0,100
654349-06092012,Spring,6900,1,apartment,Work_days,0,96,0,100
654403-06092012,Spring,6990,1,school,Work_days,0,44,0,100
654458-06092012,Spring,6100,1,school,Work_days,0,28,0,100
654527-06092012,Spring,6100,1,shopping_mall,Work_days,0,33,0,100
654834-06092012,Spring,6100,0,house,Work_days,0,39,0,100
654856-06092012,Spring,6100,1,house,Work_days,0,7,0,100
654909-06092012,Spring,6110,1,others,Work_days,0,34,0,100
654985-06092012,Spring,6100,1,apartment,Work_days,0,77,0,100
655154-07092012,Spring,0,0,hotel,Work_days,0,8,0,100
655301-07092012,Spring,6110,2,apartment,Work_days,0,1,0,100
655309-07092012,Spring,6990,1,rest_home,Work_days,0,42,0,100
655437-07092012,Spring,6110,0,shopping_mall,Work_days,0,18,0,100
655863-07092012,Spring,0,1,public_facility,Work_days,0,1,0,100
656213-08092012,Spring,6200,0,office,Week_ends,0,13,0,100
656291-08092012,Spring,6900,2,office,Week_ends,0,2,0,100
656359-08092012,Spring,6990,2,office,Week_ends,0,3,0,100
656445-08092012,Spring,6990,0,rest_home,Week_ends,0,82,0,100
657376-09092012,Spring,6200,0,tansport,Week_ends,0,5,0,100
657419-09092012,Spring,6100,2,tansport,Week_ends,0,2,0,100
657446-09092012,Spring,6100,3,tansport,Week_ends,0,2,0,100
657467-09092012,Spring,6110,0,shopping_mall,Week_ends,0,3,0,100
657539-09092012,Spring,6110,1,shopping_mall,Week_ends,0,2,0,100
657544-09092012,Spring,6100,4,tansport,Week_ends,0,1,0,100
657941-09092012,Spring,0,0,hospital,Week_ends,0,6,0,100
658555-10092012,Spring,0,0,house,Work_days,0,3,0,100
658570-10092012,Spring,1100,0,hospital,Work_days,0,16,0,100
658779-10092012,Spring,0,0,shopping_mall,Work_days,0,2,0,100
658786-10092012,Spring,0,0,school,Work_days,0,3,0,100
659262-11092012,Spring,6200,1,apartment,Work_days,0,32,0,100
659319-11092012,Spring,6100,0,restaurant,Work_days,0,13,0,100
659379-11092012,Spring,6100,2,shopping_mall,Work_days,0,14,0,100
659893-11092012,Spring,6110,0,house,Work_days,0,4,0,100
659927-12092012,Spring,6900,3,school,Work_days,0,4,0,100
659954-12092012,Spring,6200,1,shopping_mall,Work_days,0,18,0,100
660022-12092012,Spring,6900,4,school,Work_days,0,1,0,100
660395-12092012,Spring,6100,1,rest_home,Work_days,0,53,0,100
660440-12092012,Spring,6100,2,apartment,Work_days,0,18,0,100
660523-12092012,Spring,6990,2,industry_facility,Work_days,0,2,0,100
660675-13092012,Spring,6900,2,apartment,Work_days,0,12,0,100
660822-13092012,Spring,6100,3,apartment,Work_days,0,4,0,100
660831-13092012,Spring,1100,1,apartment,Work_days,0,12,0,100
661099-13092012,Spring,6990,2,rest_home,Work_days,0,6,0,100
661162-13092012,Spring,6990,3,others,Work_days,0,19,0,100
661261-14092012,Spring,1100,0,hotel,Work_days,0,31,0,100
661263-14092012,Spring,1100,1,hotel,Work_days,0,5,0,100
661275-14092012,Spring,1100,2,hotel,Work_days,0,2,0,100
661276-14092012,Spring,1100,3,hotel,Work_days,0,1,0,100
661282-14092012,Spring,1100,4,hotel,Work_days,0,1,0,100
661346-14092012,Spring,0,1,others,Work_days,0,1,0,100
661444-14092012,Spring,1100,0,tansport,Work_days,0,27,0,100
661490-14092012,Spring,6900,2,office,Work_days,0,4,0,100
661524-14092012,Spring,0,0,rest_home,Work_days,0,6,0,100
661528-14092012,Spring,6900,3,office,Work_days,0,1,0,100
661778-14092012,Spring,1100,0,industry_facility,Work_days,0,23,0,100
661785-14092012,Spring,6900,4,office,Work_days,0,1,0,100
661790-14092012,Spring,6900,5,office,Work_days,0,1,0,100
661917-15092012,Spring,6990,2,rest_home,Week_ends,0,2,0,100
661973-15092012,Spring,6990,1,hospital,Week_ends,0,25,0,100
661987-15092012,Spring,6900,6,office,Week_ends,0,1,0,100
662003-15092012,Spring,6900,7,office,Week_ends,0,1,0,100
662156-15092012,Spring,6200,0,shopping_mall,Week_ends,0,37,0,100
662157-15092012,Spring,6200,0,hospital,Week_ends,0,12,0,100
662162-15092012,Spring,6900,8,office,Week_ends,0,1,0,100
662215-15092012,Spring,6110,0,public_facility,Week_ends,0,19,0,100
662272-15092012,Spring,0,0,house,Week_ends,0,2,0,100
662379-15092012,Spring,6990,0,industry_facility,Week_ends,0,44,0,100
