incident_number,season,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
048548-04032013,Autumn,2,Cooking-time,hotel,0,14,0,100
048556-04032013,Autumn,2,Cooking-time,shopping_mall,0,23,0,100
048588-04032013,Autumn,2,Cooking-time,others,0,126,0,100
048618-04032013,Autumn,2,Night-time,shopping_mall,0,35,0,100
048662-05032013,Autumn,3,Night-time,hospital,0,8,0,100
048677-05032013,Autumn,2,Night-time,industry_facility,0,4,0,100
048796-05032013,Autumn,1,Office Hours,hotel,0,63,0,100
049002-05032013,Autumn,3,Cooking-time,industry_facility,0,1,0,100
050635-08032013,Autumn,1,Cooking-time,office,0,80,0,100
051667-10032013,Autumn,3,Office Hours,hospital,0,8,0,100
053752-14032013,Autumn,1,Office Hours,house,0,7,0,100
053867-14032013,Autumn,2,Office Hours,hotel,0,9,0,100
054119-15032013,Autumn,1,Night-time,tansport,0,19,0,100
054698-16032013,Autumn,5,Night-time,others,0,5,0,100
054702-16032013,Autumn,6,Night-time,others,0,2,0,100
054713-16032013,Autumn,7,Night-time,others,0,1,0,100
054727-16032013,Autumn,8,Night-time,others,0,2,0,100
054752-16032013,Autumn,9,Night-time,others,0,1,0,100
054928-16032013,Autumn,10,Cooking-time,others,0,1,0,100
054988-16032013,Autumn,11,Cooking-time,others,0,1,0,100
055001-16032013,Autumn,12,Office Hours,others,0,1,0,100
055016-16032013,Autumn,13,Office Hours,others,0,1,0,100
055058-16032013,Autumn,14,Office Hours,others,0,1,0,100
055073-16032013,Autumn,15,Office Hours,others,0,1,0,100
055927-18032013,Autumn,0,Night-time,restaurant,0,23,0,100
056201-18032013,Autumn,0,Office Hours,restaurant,0,32,0,100
056469-19032013,Autumn,2,Cooking-time,school,0,41,0,100
056478-19032013,Autumn,3,Cooking-time,school,0,19,0,100
056616-19032013,Autumn,4,Cooking-time,school,0,9,0,100
056702-19032013,Autumn,5,Office Hours,school,0,3,0,100
057285-20032013,Autumn,6,Office Hours,school,0,2,0,100
057640-21032013,Autumn,2,Night-time,office,0,11,0,100
058268-22032013,Autumn,2,Night-time,public_facility,0,10,0,100
058874-22032013,Autumn,2,Night-time,apartment,0,17,0,100
059079-23032013,Autumn,3,Office Hours,school,0,9,0,100
059125-23032013,Autumn,4,Office Hours,school,0,3,0,100
059181-23032013,Autumn,5,Cooking-time,school,0,5,0,100
059230-23032013,Autumn,2,Cooking-time,rest_home,0,23,0,100
059239-23032013,Autumn,6,Cooking-time,school,0,3,0,100
059360-23032013,Autumn,7,Office Hours,school,0,4,0,100
062064-27032013,Autumn,2,Office Hours,shopping_mall,0,15,0,100
062791-28032013,Autumn,2,Office Hours,apartment,0,12,0,100
