incident_number,season,alarm_type,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
019108-19012013,Summer,6200,tansport,Week_ends,0,7,0,100
019257-19012013,Summer,1900,others,Week_ends,0,7,0,100
019932-20012013,Summer,1120,apartment,Week_ends,0,1,0,100
020161-20012013,Summer,1200,public_facility,Week_ends,0,1,0,100
021157-22012013,Summer,6200,industry_facility,Work_days,0,8,0,100
021195-22012013,Summer,1900,shopping_mall,Work_days,0,2,0,100
021862-23012013,Summer,0,rest_home,Work_days,0,2,0,100
028645-31012013,Summer,0,school,Work_days,0,2,0,100
030113-02022013,Summer,1100,hospital,Week_ends,0,10,0,100
030400-02022013,Summer,6100,restaurant,Week_ends,0,6,0,100
037798-16022013,Summer,1100,house,Week_ends,0,2,0,100
043437-24022013,Summer,1100,restaurant,Week_ends,0,3,0,100
046619-01032013,Autumn,6100,industry_facility,Work_days,0,53,0,100
046758-01032013,Autumn,6200,public_facility,Work_days,0,78,0,100
046882-01032013,Autumn,1120,industry_facility,Work_days,0,7,0,100
047025-01032013,Autumn,6110,rest_home,Work_days,0,26,0,100
047063-02032013,Autumn,6100,hotel,Week_ends,0,160,0,100
047108-02032013,Autumn,6990,industry_facility,Week_ends,0,47,0,100
047119-02032013,Autumn,1100,office,Week_ends,0,15,0,100
047252-02032013,Autumn,1100,school,Week_ends,0,34,0,100
047386-02032013,Autumn,6200,public_facility,Week_ends,0,22,0,100
047468-02032013,Autumn,6990,restaurant,Week_ends,0,8,0,100
047552-02032013,Autumn,6110,rest_home,Week_ends,0,7,0,100
047561-02032013,Autumn,1120,hotel,Week_ends,0,3,0,100
047625-03032013,Autumn,6200,office,Week_ends,0,20,0,100
047665-03032013,Autumn,6110,office,Week_ends,0,33,0,100
047768-03032013,Autumn,6200,hospital,Week_ends,0,18,0,100
047835-03032013,Autumn,6110,hotel,Week_ends,0,16,0,100
048256-04032013,Autumn,6200,industry_facility,Work_days,0,23,0,100
048440-04032013,Autumn,1100,rest_home,Work_days,0,27,0,100
048708-05032013,Autumn,1100,house,Work_days,0,10,0,100
049037-05032013,Autumn,1100,hospital,Work_days,0,36,0,100
049578-06032013,Autumn,7110,public_facility,Work_days,0,27,0,100
049620-06032013,Autumn,6900,restaurant,Work_days,0,48,0,100
049733-07032013,Autumn,1100,tansport,Work_days,0,13,0,100
049969-07032013,Autumn,1120,office,Work_days,0,12,0,100
050518-08032013,Autumn,6990,tansport,Work_days,0,47,0,100
050696-08032013,Autumn,1100,public_facility,Work_days,0,55,0,100
050898-09032013,Autumn,1100,rest_home,Week_ends,0,13,0,100
050947-09032013,Autumn,6110,house,Week_ends,0,3,0,100
051038-09032013,Autumn,6110,industry_facility,Week_ends,0,9,0,100
052076-11032013,Autumn,6110,hospital,Work_days,0,28,0,100
052187-11032013,Autumn,1200,apartment,Work_days,0,1,0,100
052683-12032013,Autumn,6290,school,Work_days,0,5,0,100
053023-13032013,Autumn,6110,industry_facility,Work_days,0,26,0,100
053948-14032013,Autumn,1900,apartment,Work_days,0,8,0,100
054879-16032013,Autumn,1100,tansport,Week_ends,0,8,0,100
054976-16032013,Autumn,6900,restaurant,Week_ends,0,9,0,100
054978-16032013,Autumn,6200,school,Week_ends,0,32,0,100
055784-17032013,Autumn,6200,industry_facility,Week_ends,0,8,0,100
055927-18032013,Autumn,6100,restaurant,Work_days,0,15,0,100
056431-19032013,Autumn,1200,public_facility,Work_days,0,1,0,100
057049-20032013,Autumn,1100,hotel,Work_days,0,34,0,100
057099-20032013,Autumn,6200,house,Work_days,0,14,0,100
057832-21032013,Autumn,6100,house,Work_days,0,65,0,100
059443-23032013,Autumn,1120,others,Week_ends,0,15,0,100
059870-24032013,Autumn,6990,tansport,Week_ends,0,18,0,100
061194-26032013,Autumn,6990,restaurant,Work_days,0,17,0,100
061389-26032013,Autumn,6120,industry_facility,Work_days,0,3,0,100
061985-27032013,Autumn,1120,hospital,Work_days,0,4,0,100
063896-30032013,Autumn,6210,office,Week_ends,0,7,0,100
064055-30032013,Autumn,6100,house,Week_ends,0,32,0,100
064786-31032013,Autumn,6110,hospital,Week_ends,0,2,0,100
066106-03042013,Autumn,6200,tansport,Work_days,0,8,0,100
067683-06042013,Autumn,6200,tansport,Week_ends,0,3,0,100
067689-06042013,Autumn,1900,others,Week_ends,0,2,0,100
069245-09042013,Autumn,6210,office,Work_days,0,7,0,100
069377-09042013,Autumn,6200,restaurant,Work_days,0,1,0,100
072210-14042013,Autumn,0,school,Week_ends,0,1,0,100
074076-17042013,Autumn,0,house,Work_days,0,1,0,100
074096-17042013,Autumn,0,hotel,Work_days,0,1,0,100
074592-18042013,Autumn,1170,others,Work_days,0,2,0,100
076286-20042013,Autumn,6100,restaurant,Week_ends,0,4,0,100
076580-21042013,Autumn,1120,office,Week_ends,0,3,0,100
082702-01052013,Autumn,0,public_facility,Work_days,0,1,0,100
083597-03052013,Autumn,0,apartment,Work_days,0,2,0,100
084822-04052013,Autumn,6200,house,Week_ends,0,1,0,100
085498-05052013,Autumn,0,public_facility,Week_ends,0,2,0,100
086882-08052013,Autumn,1200,others,Work_days,0,11,0,100
089566-12052013,Autumn,0,others,Week_ends,0,4,0,100
096809-24052013,Autumn,0,hospital,Work_days,0,1,0,100
097259-25052013,Autumn,6110,shopping_mall,Week_ends,0,6,0,100
102114-03062013,Winter,1200,public_facility,Work_days,0,4,0,100
103029-05062013,Winter,6110,house,Work_days,0,5,0,100
104010-07062013,Winter,1170,others,Work_days,0,2,0,100
104914-08062013,Winter,1100,rest_home,Week_ends,0,6,0,100
107254-13062013,Winter,1120,office,Work_days,0,7,0,100
108790-16062013,Winter,6290,school,Week_ends,0,4,0,100
109878-18062013,Winter,1900,apartment,Work_days,0,2,0,100
111336-21062013,Winter,6990,restaurant,Work_days,0,19,0,100
112742-23062013,Winter,1100,tansport,Week_ends,0,8,0,100
113849-25062013,Winter,6210,office,Work_days,0,2,0,100
116015-29062013,Winter,0,apartment,Week_ends,0,3,0,100
116053-29062013,Winter,0,school,Week_ends,0,1,0,100
120009-07072013,Winter,1120,hospital,Week_ends,0,2,0,100
121869-10072013,Winter,8990,others,Work_days,0,1,0,100
127118-20072013,Winter,1900,others,Week_ends,0,5,0,100
