incident_number,alarm_type,repeat_count,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
649184-01092012,1900,1,others,Week_ends,0,4,0,100
649287-01092012,1900,0,industry_facility,Week_ends,0,1,0,100
649288-01092012,1120,0,others,Week_ends,0,37,0,100
649774-01092012,6990,4,others,Week_ends,0,4,0,100
650652-02092012,1100,0,tansport,Week_ends,0,27,0,100
650814-02092012,1120,0,hotel,Week_ends,0,3,0,100
651617-03092012,6900,1,house,Work_days,0,26,0,100
652087-04092012,6900,2,house,Work_days,0,6,0,100
653703-05092012,1900,1,others,Work_days,0,12,0,100
653741-05092012,6100,2,hotel,Work_days,0,22,0,100
653868-05092012,6100,3,hotel,Work_days,0,5,0,100
653912-05092012,1100,2,public_facility,Work_days,0,7,0,100
655863-07092012,0,1,public_facility,Work_days,0,1,0,100
657419-09092012,6100,2,tansport,Week_ends,0,4,0,100
657446-09092012,6100,3,tansport,Week_ends,0,2,0,100
657539-09092012,6110,1,shopping_mall,Week_ends,0,2,0,100
657544-09092012,6100,4,tansport,Week_ends,0,1,0,100
657941-09092012,0,0,hospital,Week_ends,0,6,0,100
659379-11092012,6100,2,shopping_mall,Work_days,0,38,0,100
659927-12092012,6900,3,school,Work_days,0,24,0,100
660022-12092012,6900,4,school,Work_days,0,7,0,100
660440-12092012,6100,2,apartment,Work_days,0,45,0,100
660822-13092012,6100,3,apartment,Work_days,0,9,0,100
661263-14092012,1100,1,hotel,Work_days,0,13,0,100
661275-14092012,1100,2,hotel,Work_days,0,5,0,100
661276-14092012,1100,3,hotel,Work_days,0,2,0,100
661282-14092012,1100,4,hotel,Work_days,0,1,0,100
661346-14092012,0,1,others,Work_days,0,1,0,100
661785-14092012,6900,4,office,Work_days,0,1,0,100
661790-14092012,6900,5,office,Work_days,0,1,0,100
661917-15092012,6990,2,rest_home,Week_ends,0,11,0,100
661987-15092012,6900,6,office,Week_ends,0,1,0,100
662003-15092012,6900,7,office,Week_ends,0,1,0,100
662162-15092012,6900,8,office,Week_ends,0,1,0,100
662272-15092012,0,0,house,Week_ends,0,2,0,100
662531-15092012,6900,9,office,Week_ends,0,1,0,100
662782-16092012,0,1,public_facility,Week_ends,0,1,0,100
663019-16092012,0,1,others,Week_ends,0,1,0,100
664657-19092012,1120,1,hotel,Work_days,0,2,0,100
664716-19092012,6900,3,public_facility,Work_days,0,7,0,100
667404-22092012,6100,2,hospital,Week_ends,0,28,0,100
667445-22092012,1100,1,hotel,Week_ends,0,9,0,100
668093-23092012,1100,2,hotel,Week_ends,0,3,0,100
668175-23092012,0,0,public_facility,Week_ends,0,4,0,100
668413-24092012,6900,2,hotel,Work_days,0,22,0,100
668414-24092012,6900,3,hotel,Work_days,0,6,0,100
668416-24092012,6900,4,hotel,Work_days,0,3,0,100
669917-26092012,6990,3,rest_home,Work_days,0,3,0,100
669921-26092012,6990,4,rest_home,Work_days,0,1,0,100
671347-27092012,6900,3,rest_home,Work_days,0,9,0,100
671454-28092012,6900,4,hospital,Work_days,0,9,0,100
671463-28092012,6900,5,hospital,Work_days,0,2,0,100
671475-28092012,6900,6,hospital,Work_days,0,2,0,100
671480-28092012,6900,7,hospital,Work_days,0,1,0,100
671483-28092012,6900,8,hospital,Work_days,0,1,0,100
671487-28092012,6900,9,hospital,Work_days,0,1,0,100
671909-28092012,6900,10,hospital,Work_days,0,1,0,100
671932-28092012,6900,11,hospital,Work_days,0,1,0,100
672504-29092012,6990,1,rest_home,Week_ends,0,48,0,100
672864-29092012,6200,2,others,Week_ends,0,4,0,100
672889-29092012,1900,0,others,Week_ends,0,23,0,100
673280-30092012,1100,1,office,Week_ends,0,9,0,100
673549-30092012,0,0,school,Week_ends,0,6,0,100
673556-30092012,6100,2,school,Week_ends,0,17,0,100
673558-30092012,6100,3,school,Week_ends,0,8,0,100
673559-30092012,6100,4,school,Week_ends,0,5,0,100
673560-30092012,6100,5,school,Week_ends,0,4,0,100
673893-30092012,6200,1,public_facility,Week_ends,0,12,0,100
675980-03102012,6200,1,house,Work_days,0,10,0,100
676303-04102012,6900,3,shopping_mall,Work_days,0,6,0,100
676365-04102012,6900,4,shopping_mall,Work_days,0,2,0,100
678812-06102012,6900,1,house,Week_ends,0,6,0,100
679050-06102012,6110,2,others,Week_ends,0,8,0,100
679159-06102012,6200,2,shopping_mall,Week_ends,0,7,0,100
679312-06102012,6900,3,hospital,Week_ends,0,5,0,100
680593-08102012,6990,4,hospital,Work_days,0,6,0,100
683345-13102012,6990,2,house,Week_ends,0,3,0,100
683838-14102012,6110,0,house,Week_ends,0,8,0,100
683991-14102012,6110,1,rest_home,Week_ends,0,3,0,100
684629-15102012,6200,2,school,Work_days,0,7,0,100
684928-16102012,1900,1,apartment,Work_days,0,2,0,100
684949-16102012,6200,3,others,Work_days,0,5,0,100
685522-16102012,1170,0,others,Work_days,0,7,0,100
685572-16102012,6900,1,restaurant,Work_days,0,14,0,100
685785-17102012,1120,0,hospital,Work_days,0,13,0,100
688709-20102012,1100,2,shopping_mall,Week_ends,0,4,0,100
689078-21102012,6120,0,others,Week_ends,0,10,0,100
689881-22102012,6110,4,school,Work_days,0,7,0,100
690003-22102012,1900,0,shopping_mall,Work_days,0,4,0,100
692118-25102012,1100,4,others,Work_days,0,7,0,100
693757-27102012,6100,3,rest_home,Week_ends,0,3,0,100
695061-28102012,6100,2,rest_home,Week_ends,0,11,0,100
696550-30102012,6200,2,office,Work_days,0,5,0,100
697576-01112012,1200,0,public_facility,Work_days,0,4,0,100
699408-03112012,6900,3,school,Week_ends,0,8,0,100
701774-06112012,1100,2,apartment,Work_days,0,12,0,100
702563-07112012,6290,1,school,Work_days,0,1,0,100
703054-08112012,1900,1,public_facility,Work_days,0,2,0,100
703152-08112012,1900,2,public_facility,Work_days,0,2,0,100
703171-08112012,1900,3,public_facility,Work_days,0,1,0,100
703678-09112012,1100,1,house,Work_days,0,4,0,100
704379-10112012,6110,2,office,Week_ends,0,3,0,100
704462-10112012,1100,0,hospital,Week_ends,0,13,0,100
704497-10112012,1160,0,office,Week_ends,0,2,0,100
704574-10112012,6110,3,office,Week_ends,0,2,0,100
707465-14112012,6110,0,restaurant,Work_days,0,3,0,100
707498-15112012,6110,2,industry_facility,Work_days,0,6,0,100
708026-15112012,6600,0,apartment,Work_days,0,2,0,100
709493-18112012,6900,2,public_facility,Week_ends,0,10,0,100
709634-18112012,1100,0,rest_home,Week_ends,0,27,0,100
709998-19112012,6990,4,public_facility,Work_days,0,1,0,100
710009-19112012,1120,0,industry_facility,Work_days,0,22,0,100
711287-21112012,1100,3,shopping_mall,Work_days,0,3,0,100
713294-24112012,7110,1,public_facility,Week_ends,0,3,0,100
713869-25112012,7110,2,public_facility,Week_ends,0,1,0,100
714238-25112012,1170,0,industry_facility,Week_ends,0,4,0,100
714349-25112012,1200,0,others,Week_ends,0,5,0,100
716564-28112012,6110,1,shopping_mall,Work_days,0,6,0,100
717352-29112012,6100,1,tansport,Work_days,0,43,0,100
718377-30112012,6100,2,public_facility,Work_days,0,24,0,100
718729-01122012,6100,2,public_facility,Week_ends,0,10,0,100
718990-01122012,6110,1,hotel,Week_ends,0,4,0,100
719078-01122012,6110,2,hotel,Week_ends,0,1,0,100
719876-03122012,1120,0,office,Work_days,0,34,0,100
719887-03122012,1160,0,office,Work_days,0,1,0,100
722516-05122012,6900,5,others,Work_days,0,12,0,100
722592-06122012,6900,6,others,Work_days,0,8,0,100
722656-06122012,6900,7,others,Work_days,0,6,0,100
722684-06122012,6900,8,others,Work_days,0,4,0,100
724512-08122012,6200,1,house,Week_ends,0,2,0,100
724698-08122012,6110,0,restaurant,Week_ends,0,1,0,100
724713-08122012,6200,2,hospital,Week_ends,0,2,0,100
725094-09122012,6100,2,shopping_mall,Week_ends,0,6,0,100
726361-11122012,6100,1,restaurant,Work_days,0,6,0,100
728207-13122012,1100,2,school,Work_days,0,14,0,100
728957-14122012,6200,1,hospital,Work_days,0,25,0,100
729762-16122012,6900,3,shopping_mall,Week_ends,0,4,0,100
732427-19122012,1100,3,public_facility,Work_days,0,2,0,100
732434-19122012,1100,4,public_facility,Work_days,0,2,0,100
732764-20122012,1100,5,public_facility,Work_days,0,2,0,100
733666-21122012,6110,5,school,Work_days,0,5,0,100
733749-21122012,6110,6,school,Work_days,0,5,0,100
734218-21122012,6110,7,school,Work_days,0,2,0,100
735528-23122012,0,0,apartment,Week_ends,0,8,0,100
735869-23122012,1120,1,others,Week_ends,0,4,0,100
737925-25122012,6100,3,shopping_mall,Work_days,0,9,0,100
738200-26122012,6100,4,shopping_mall,Work_days,0,2,0,100
738391-27122012,6100,5,shopping_mall,Work_days,0,2,0,100
738432-27122012,6100,6,shopping_mall,Work_days,0,1,0,100
738765-27122012,6100,7,shopping_mall,Work_days,0,1,0,100
739340-28122012,6100,8,shopping_mall,Work_days,0,1,0,100
740438-30122012,6900,4,school,Week_ends,0,2,0,100
740864-30122012,6900,5,school,Week_ends,0,3,0,100
003198-04012013,1120,1,hospital,Work_days,0,2,0,100
003673-05012013,6990,1,restaurant,Week_ends,0,2,0,100
004383-06012013,6990,2,restaurant,Week_ends,0,1,0,100
004424-06012013,6990,3,apartment,Week_ends,0,8,0,100
004839-06012013,1100,1,rest_home,Week_ends,0,5,0,100
008337-09012013,6900,4,rest_home,Work_days,0,1,0,100
008706-09012013,6900,5,rest_home,Work_days,0,1,0,100
008835-09012013,6900,6,rest_home,Work_days,0,1,0,100
010205-11012013,6200,1,public_facility,Work_days,0,27,0,100
010585-11012013,6110,1,house,Work_days,0,1,0,100
010988-11012013,1900,2,others,Work_days,0,3,0,100
011268-12012013,6100,3,hospital,Week_ends,0,9,0,100
012854-13012013,1900,0,public_facility,Week_ends,0,3,0,100
013302-13012013,1100,3,hotel,Week_ends,0,2,0,100
013636-13012013,1100,4,hotel,Week_ends,0,2,0,100
013696-14012013,1100,5,hotel,Work_days,0,1,0,100
013764-14012013,1100,6,hotel,Work_days,0,1,0,100
013782-14012013,1100,7,hotel,Work_days,0,1,0,100
014862-15012013,1200,0,others,Work_days,0,21,0,100
015121-16012013,6990,3,hotel,Work_days,0,12,0,100
015150-16012013,6990,4,hotel,Work_days,0,3,0,100
015166-16012013,6900,2,tansport,Work_days,0,13,0,100
017474-18012013,6110,4,apartment,Work_days,0,1,0,100
019108-19012013,6200,1,tansport,Week_ends,0,2,0,100
020161-20012013,1200,0,public_facility,Week_ends,0,1,0,100
024385-26012013,6900,4,apartment,Week_ends,0,3,0,100
024515-26012013,6900,5,apartment,Week_ends,0,2,0,100
026598-28012013,6990,7,others,Work_days,0,5,0,100
026828-28012013,1100,3,apartment,Work_days,0,3,0,100
026854-28012013,1100,4,apartment,Work_days,0,2,0,100
026928-28012013,6110,3,others,Work_days,0,5,0,100
026943-28012013,1100,5,apartment,Work_days,0,1,0,100
027075-28012013,6110,4,others,Work_days,0,3,0,100
027209-29012013,6990,8,others,Work_days,0,3,0,100
027216-29012013,6990,9,others,Work_days,0,2,0,100
027344-29012013,6100,3,school,Work_days,0,14,0,100
027349-29012013,6110,5,others,Work_days,0,1,0,100
027414-29012013,6110,6,others,Work_days,0,1,0,100
027507-29012013,6900,3,house,Work_days,0,2,0,100
027804-29012013,6200,2,hotel,Work_days,0,4,0,100
027807-29012013,6100,4,school,Work_days,0,8,0,100
028066-29012013,6900,2,restaurant,Work_days,0,5,0,100
029995-02022013,6110,3,others,Week_ends,0,3,0,100
030048-02022013,6990,3,hospital,Week_ends,0,5,0,100
030071-02022013,6110,4,others,Week_ends,0,2,0,100
030247-02022013,6990,5,apartment,Week_ends,0,2,0,100
030360-02022013,6990,6,apartment,Week_ends,0,2,0,100
030431-02022013,6990,7,apartment,Week_ends,0,2,0,100
030460-03022013,6990,8,apartment,Week_ends,0,1,0,100
030596-03022013,6900,2,industry_facility,Week_ends,0,7,0,100
032213-06022013,1100,1,tansport,Work_days,0,5,0,100
032291-06022013,6110,1,hospital,Work_days,0,9,0,100
034694-10022013,6200,2,hotel,Week_ends,0,1,0,100
035262-11022013,6200,3,hotel,Work_days,0,2,0,100
035541-11022013,6100,2,industry_facility,Work_days,0,3,0,100
035613-12022013,6100,3,industry_facility,Work_days,0,3,0,100
039418-19022013,6100,2,tansport,Work_days,0,5,0,100
040419-21022013,6100,2,office,Work_days,0,10,0,100
040834-21022013,6900,3,tansport,Work_days,0,6,0,100
040956-21022013,6900,4,tansport,Work_days,0,1,0,100
041081-22022013,6900,5,tansport,Work_days,0,1,0,100
041085-22022013,6900,6,tansport,Work_days,0,1,0,100
041680-22022013,6900,7,tansport,Work_days,0,1,0,100
042136-23022013,6900,3,rest_home,Week_ends,0,3,0,100
042393-23022013,6900,4,rest_home,Week_ends,0,1,0,100
042545-23022013,6900,5,rest_home,Week_ends,0,1,0,100
042569-23022013,6200,2,school,Week_ends,0,2,0,100
042696-23022013,6200,2,public_facility,Week_ends,0,2,0,100
043791-24022013,1100,1,hospital,Week_ends,0,4,0,100
043898-24022013,6110,5,school,Week_ends,0,2,0,100
043946-24022013,6100,3,apartment,Week_ends,0,2,0,100
044042-24022013,6900,2,tansport,Week_ends,0,2,0,100
044057-24022013,6900,2,restaurant,Week_ends,0,1,0,100
044087-24022013,6900,3,restaurant,Week_ends,0,1,0,100
044456-25022013,6100,5,hospital,Work_days,0,3,0,100
045430-27022013,6100,3,public_facility,Work_days,0,7,0,100
046419-28022013,6990,3,office,Work_days,0,9,0,100
047574-02032013,1120,1,hotel,Week_ends,0,1,0,100
047658-03032013,6990,3,hotel,Week_ends,0,4,0,100
048078-03032013,1100,1,house,Week_ends,0,1,0,100
049002-05032013,6200,3,industry_facility,Work_days,0,1,0,100
049154-06032013,1100,2,hospital,Work_days,0,2,0,100
049181-06032013,1100,3,hospital,Work_days,0,1,0,100
054698-16032013,6990,5,others,Week_ends,0,2,0,100
054702-16032013,6990,6,others,Week_ends,0,2,0,100
054713-16032013,6990,7,others,Week_ends,0,1,0,100
054727-16032013,6990,8,others,Week_ends,0,2,0,100
054752-16032013,6990,9,others,Week_ends,0,1,0,100
054928-16032013,6990,10,others,Week_ends,0,1,0,100
054988-16032013,6990,11,others,Week_ends,0,1,0,100
055001-16032013,6990,12,others,Week_ends,0,1,0,100
055016-16032013,6990,13,others,Week_ends,0,1,0,100
055058-16032013,6990,14,others,Week_ends,0,1,0,100
055073-16032013,6990,15,others,Week_ends,0,1,0,100
059125-23032013,6110,4,school,Week_ends,0,2,0,100
059239-23032013,6110,6,school,Week_ends,0,1,0,100
059360-23032013,6110,7,school,Week_ends,0,1,0,100
059625-24032013,6110,8,others,Week_ends,0,1,0,100
063896-30032013,6210,0,office,Week_ends,0,6,0,100
064267-31032013,6210,1,office,Week_ends,0,1,0,100
