incident_number,season,repeat_count,time_of_day2,work_end,true_alarm,false_alarm,true_percentage,false_percentage
671480-28092012,Spring,7,Night-time,Work_days,0,3,0,100
671483-28092012,Spring,8,Night-time,Work_days,0,1,0,100
671487-28092012,Spring,9,Night-time,Work_days,0,1,0,100
671909-28092012,Spring,10,Cooking-time,Work_days,0,3,0,100
671932-28092012,Spring,11,Cooking-time,Work_days,0,2,0,100
672607-29092012,Spring,2,Office Hours,Week_ends,0,31,0,100
673558-30092012,Spring,3,Cooking-time,Week_ends,0,25,0,100
673560-30092012,Spring,5,Cooking-time,Week_ends,0,5,0,100
704178-09112012,Spring,4,Office Hours,Work_days,0,6,0,100
718527-01122012,Summer,2,Night-time,Week_ends,0,67,0,100
718634-01122012,Summer,1,Cooking-time,Week_ends,0,542,0,100
718671-01122012,Summer,4,Cooking-time,Week_ends,0,9,0,100
718729-01122012,Summer,2,Office Hours,Week_ends,0,48,0,100
721415-05122012,Summer,3,Night-time,Work_days,0,54,0,100
721698-05122012,Summer,3,Cooking-time,Work_days,0,78,0,100
722516-05122012,Summer,5,Night-time,Work_days,0,9,0,100
722592-06122012,Summer,6,Night-time,Work_days,0,6,0,100
722656-06122012,Summer,7,Cooking-time,Work_days,0,6,0,100
722684-06122012,Summer,8,Cooking-time,Work_days,0,3,0,100
722982-06122012,Summer,3,Office Hours,Work_days,0,27,0,100
729061-15122012,Summer,3,Night-time,Week_ends,0,10,0,100
732434-19122012,Summer,4,Office Hours,Work_days,0,8,0,100
732716-19122012,Summer,4,Night-time,Work_days,0,16,0,100
733749-21122012,Summer,6,Cooking-time,Work_days,0,7,0,100
739340-28122012,Summer,8,Office Hours,Work_days,0,3,0,100
740438-30122012,Summer,4,Office Hours,Week_ends,0,7,0,100
740864-30122012,Summer,5,Cooking-time,Week_ends,0,5,0,100
004424-06012013,Summer,3,Office Hours,Week_ends,0,9,0,100
008706-09012013,Summer,5,Cooking-time,Work_days,0,14,0,100
013636-13012013,Summer,4,Night-time,Week_ends,0,1,0,100
027209-29012013,Summer,8,Night-time,Work_days,0,1,0,100
027216-29012013,Summer,9,Night-time,Work_days,0,2,0,100
030247-02022013,Summer,5,Office Hours,Week_ends,0,5,0,100
030360-02022013,Summer,6,Cooking-time,Week_ends,0,3,0,100
030431-02022013,Summer,7,Night-time,Week_ends,0,2,0,100
030460-03022013,Summer,8,Night-time,Week_ends,0,1,0,100
047057-02032013,Autumn,2,Night-time,Week_ends,0,68,0,100
047193-02032013,Autumn,3,Cooking-time,Week_ends,0,29,0,100
047238-02032013,Autumn,2,Office Hours,Week_ends,0,49,0,100
047658-03032013,Autumn,3,Night-time,Week_ends,0,16,0,100
048662-05032013,Autumn,3,Night-time,Work_days,0,42,0,100
049002-05032013,Autumn,3,Cooking-time,Work_days,0,70,0,100
051667-10032013,Autumn,3,Office Hours,Week_ends,0,17,0,100
054130-15032013,Autumn,4,Night-time,Work_days,0,15,0,100
054698-16032013,Autumn,5,Night-time,Week_ends,0,4,0,100
054702-16032013,Autumn,6,Night-time,Week_ends,0,3,0,100
054713-16032013,Autumn,7,Night-time,Week_ends,0,3,0,100
054727-16032013,Autumn,8,Night-time,Week_ends,0,5,0,100
054752-16032013,Autumn,9,Night-time,Week_ends,0,1,0,100
054928-16032013,Autumn,10,Cooking-time,Week_ends,0,2,0,100
054988-16032013,Autumn,11,Cooking-time,Week_ends,0,2,0,100
055001-16032013,Autumn,12,Office Hours,Week_ends,0,1,0,100
055016-16032013,Autumn,13,Office Hours,Week_ends,0,1,0,100
055058-16032013,Autumn,14,Office Hours,Week_ends,0,1,0,100
055073-16032013,Autumn,15,Office Hours,Week_ends,0,1,0,100
056616-19032013,Autumn,4,Cooking-time,Work_days,0,26,0,100
056702-19032013,Autumn,5,Office Hours,Work_days,0,5,0,100
057285-20032013,Autumn,6,Office Hours,Work_days,0,3,0,100
059125-23032013,Autumn,4,Office Hours,Week_ends,0,10,0,100
059181-23032013,Autumn,5,Cooking-time,Week_ends,0,4,0,100
059239-23032013,Autumn,6,Cooking-time,Week_ends,0,4,0,100
059360-23032013,Autumn,7,Office Hours,Week_ends,0,4,0,100
062819-28032013,Autumn,3,Office Hours,Work_days,0,22,0,100
064850-01042013,Autumn,5,Night-time,Work_days,0,11,0,100
067048-05042013,Autumn,6,Night-time,Work_days,0,3,0,100
067362-05042013,Autumn,7,Office Hours,Work_days,0,2,0,100
067780-06042013,Autumn,8,Office Hours,Week_ends,0,1,0,100
069342-09042013,Autumn,4,Office Hours,Work_days,0,8,0,100
072666-14042013,Autumn,4,Cooking-time,Week_ends,0,10,0,100
094368-20052013,Autumn,5,Cooking-time,Work_days,0,12,0,100
094407-20052013,Autumn,6,Cooking-time,Work_days,0,6,0,100
096952-24052013,Autumn,7,Cooking-time,Work_days,0,3,0,100
101194-01062013,Winter,3,Office Hours,Week_ends,0,11,0,100
111802-22062013,Winter,5,Night-time,Week_ends,0,1,0,100
118045-03072013,Winter,6,Office Hours,Work_days,0,1,0,100
118473-04072013,Winter,9,Cooking-time,Work_days,0,1,0,100
127097-20072013,Winter,4,Office Hours,Week_ends,0,4,0,100
203013-23102013,Spring,6,Office Hours,Work_days,0,2,0,100
209016-30102013,Spring,6,Cooking-time,Work_days,0,5,0,100
209018-30102013,Spring,7,Cooking-time,Work_days,0,3,0,100
209019-30102013,Spring,8,Cooking-time,Work_days,0,3,0,100
209020-30102013,Spring,9,Cooking-time,Work_days,0,2,0,100
209023-30102013,Spring,12,Cooking-time,Work_days,0,1,0,100
209024-30102013,Spring,13,Cooking-time,Work_days,0,1,0,100
209025-30102013,Spring,14,Cooking-time,Work_days,0,1,0,100
209026-30102013,Spring,15,Cooking-time,Work_days,0,1,0,100
209027-30102013,Spring,16,Cooking-time,Work_days,0,1,0,100
209028-30102013,Spring,17,Cooking-time,Work_days,0,1,0,100
209029-30102013,Spring,18,Cooking-time,Work_days,0,1,0,100
209030-30102013,Spring,19,Cooking-time,Work_days,0,1,0,100
209031-30102013,Spring,20,Cooking-time,Work_days,0,1,0,100
209032-30102013,Spring,21,Cooking-time,Work_days,0,1,0,100
209033-30102013,Spring,22,Cooking-time,Work_days,0,1,0,100
209034-30102013,Spring,23,Cooking-time,Work_days,0,1,0,100
209035-30102013,Spring,24,Cooking-time,Work_days,0,1,0,100
209036-30102013,Spring,25,Cooking-time,Work_days,0,1,0,100
209037-30102013,Spring,26,Cooking-time,Work_days,0,1,0,100
209038-30102013,Spring,27,Cooking-time,Work_days,0,1,0,100
209039-30102013,Spring,28,Cooking-time,Work_days,0,1,0,100
209040-30102013,Spring,29,Cooking-time,Work_days,0,1,0,100
209041-30102013,Spring,30,Cooking-time,Work_days,0,1,0,100
209042-30102013,Spring,31,Cooking-time,Work_days,0,1,0,100
209043-30102013,Spring,32,Cooking-time,Work_days,0,1,0,100
209044-30102013,Spring,33,Cooking-time,Work_days,0,1,0,100
209045-30102013,Spring,34,Cooking-time,Work_days,0,1,0,100
209046-30102013,Spring,35,Cooking-time,Work_days,0,1,0,100
209047-30102013,Spring,36,Cooking-time,Work_days,0,1,0,100
209048-30102013,Spring,37,Cooking-time,Work_days,0,1,0,100
209049-30102013,Spring,38,Cooking-time,Work_days,0,1,0,100
209050-30102013,Spring,39,Cooking-time,Work_days,0,1,0,100
209051-30102013,Spring,40,Cooking-time,Work_days,0,1,0,100
209052-30102013,Spring,41,Cooking-time,Work_days,0,1,0,100
209053-30102013,Spring,42,Office Hours,Work_days,0,1,0,100
209054-30102013,Spring,43,Office Hours,Work_days,0,1,0,100
209064-30102013,Spring,44,Office Hours,Work_days,0,1,0,100
209067-30102013,Spring,45,Office Hours,Work_days,0,1,0,100
212178-03112013,Spring,6,Cooking-time,Week_ends,0,3,0,100
237821-11122013,Summer,6,Office Hours,Work_days,0,2,0,100
237822-11122013,Summer,7,Office Hours,Work_days,0,2,0,100
034196-20022014,Summer,7,Night-time,Work_days,0,1,0,100
035151-21022014,Summer,10,Cooking-time,Work_days,0,1,0,100
074962-06052014,Autumn,7,Night-time,Work_days,0,2,0,100
075421-06052014,Autumn,8,Night-time,Work_days,0,2,0,100
075447-07052014,Autumn,9,Night-time,Work_days,0,1,0,100
075454-07052014,Autumn,10,Night-time,Work_days,0,1,0,100
075565-07052014,Autumn,11,Office Hours,Work_days,0,1,0,100
100733-24062014,Winter,7,Night-time,Work_days,0,3,0,100
109629-08072014,Winter,8,Office Hours,Work_days,0,1,0,100
116189-19072014,Winter,8,Night-time,Week_ends,0,1,0,100
157323-28092014,Spring,4,Night-time,Week_ends,0,3,0,100
169077-14102014,Spring,5,Office Hours,Work_days,0,1,0,100
198213-23112014,Spring,5,Night-time,Week_ends,0,1,0,100
208852-07122014,Summer,6,Night-time,Week_ends,0,1,0,100
211074-10122014,Summer,5,Office Hours,Work_days,0,1,0,100
028675-21022015,Summer,6,Office Hours,Week_ends,0,1,0,100
028784-21022015,Summer,7,Cooking-time,Week_ends,0,1,0,100
028954-21022015,Summer,8,Cooking-time,Week_ends,0,1,0,100
029430-22022015,Summer,9,Cooking-time,Week_ends,0,2,0,100
033231-01032015,Autumn,5,Office Hours,Week_ends,0,3,0,100
033329-01032015,Autumn,6,Office Hours,Week_ends,0,2,0,100
056971-12042015,Autumn,9,Cooking-time,Week_ends,0,2,0,100
057049-12042015,Autumn,10,Office Hours,Week_ends,0,1,0,100
075545-03052015,Autumn,8,Cooking-time,Week_ends,0,1,0,100
076156-04052015,Autumn,8,Cooking-time,Work_days,0,1,0,100
076165-04052015,Autumn,9,Cooking-time,Work_days,0,1,0,100
076184-04052015,Autumn,10,Cooking-time,Work_days,0,1,0,100
