incident_number,season,alarm_type,repeat_count,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
612533-05072012,Winter,6100,4,Night-time,others,0,4,0,100
612552-05072012,Winter,6100,1,Night-time,hotel,0,9,0,100
612591-05072012,Winter,6990,0,Night-time,house,0,11,0,100
612694-05072012,Winter,6110,3,Office Hours,school,0,1,0,100
613070-05072012,Winter,6990,2,Night-time,apartment,0,11,0,100
613102-06072012,Winter,6110,1,Night-time,others,0,11,0,100
613156-06072012,Winter,1120,0,Night-time,others,0,13,0,100
613265-06072012,Winter,6100,3,Office Hours,hospital,0,4,0,100
613435-06072012,Winter,6200,0,Office Hours,tansport,0,5,0,100
613591-07072012,Winter,6110,0,Night-time,shopping_mall,0,7,0,100
613761-07072012,Winter,7110,0,Office Hours,others,0,3,0,100
613957-07072012,Winter,6990,2,Office Hours,shopping_mall,0,6,0,100
614414-08072012,Winter,6990,1,Cooking-time,hospital,0,31,0,100
614644-08072012,Winter,1900,0,Cooking-time,shopping_mall,0,2,0,100
614860-09072012,Winter,6200,0,Office Hours,hospital,0,9,0,100
614882-09072012,Winter,6100,1,Office Hours,office,0,8,0,100
614907-09072012,Winter,6900,0,Office Hours,restaurant,0,9,0,100
615138-09072012,Winter,6900,3,Cooking-time,office,0,1,0,100
615231-09072012,Winter,6900,2,Night-time,apartment,0,8,0,100
615322-10072012,Winter,6900,3,Night-time,others,0,6,0,100
615413-10072012,Winter,6900,3,Office Hours,apartment,0,2,0,100
615449-10072012,Winter,6900,2,Office Hours,school,0,9,0,100
615609-10072012,Winter,1100,1,Office Hours,others,0,11,0,100
615668-10072012,Winter,6100,1,Cooking-time,hotel,0,17,0,100
615681-10072012,Winter,6120,0,Cooking-time,office,0,1,0,100
615774-11072012,Winter,1100,1,Night-time,public_facility,0,6,0,100
615972-11072012,Winter,6110,2,Office Hours,others,0,1,0,100
615997-11072012,Winter,6110,0,Cooking-time,industry_facility,0,13,0,100
616304-12072012,Winter,6990,2,Night-time,hotel,0,3,0,100
616364-12072012,Winter,6990,1,Cooking-time,house,0,5,0,100
616597-12072012,Winter,1100,1,Cooking-time,office,0,5,0,100
616653-12072012,Winter,6110,0,Cooking-time,shopping_mall,0,7,0,100
616677-12072012,Winter,1100,2,Night-time,office,0,5,0,100
616708-13072012,Winter,6900,1,Night-time,rest_home,0,12,0,100
616728-13072012,Winter,6990,1,Night-time,apartment,0,29,0,100
616729-13072012,Winter,1100,3,Night-time,office,0,3,0,100
616747-13072012,Winter,6200,1,Night-time,industry_facility,0,3,0,100
616750-13072012,Winter,6110,1,Night-time,hotel,0,2,0,100
616766-13072012,Winter,1100,1,Night-time,shopping_mall,0,7,0,100
616870-13072012,Winter,1900,0,Office Hours,public_facility,0,1,0,100
616949-13072012,Winter,6200,1,Cooking-time,school,0,3,0,100
616956-13072012,Winter,6990,2,Cooking-time,industry_facility,0,1,0,100
617019-13072012,Winter,1100,4,Office Hours,office,0,1,0,100
617036-13072012,Winter,6100,1,Office Hours,rest_home,0,11,0,100
617136-13072012,Winter,6200,1,Cooking-time,apartment,0,13,0,100
617193-13072012,Winter,6100,1,Cooking-time,rest_home,0,22,0,100
617374-14072012,Winter,6900,2,Night-time,hospital,0,9,0,100
617472-14072012,Winter,6110,3,Cooking-time,school,0,5,0,100
617531-14072012,Winter,6990,3,Cooking-time,others,0,10,0,100
617688-14072012,Winter,1100,1,Office Hours,public_facility,0,1,0,100
617744-14072012,Winter,1100,2,Office Hours,public_facility,0,1,0,100
617837-14072012,Winter,6100,1,Night-time,industry_facility,0,7,0,100
618411-16072012,Winter,6200,0,Night-time,office,0,10,0,100
618505-16072012,Winter,6200,0,Cooking-time,industry_facility,0,10,0,100
618547-16072012,Winter,6110,0,Office Hours,hotel,0,14,0,100
618730-16072012,Winter,6200,1,Office Hours,industry_facility,0,1,0,100
618960-17072012,Winter,6200,2,Night-time,industry_facility,0,1,0,100
618963-17072012,Winter,6200,1,Night-time,apartment,0,7,0,100
618980-17072012,Winter,6110,1,Night-time,public_facility,0,2,0,100
619215-17072012,Winter,6990,1,Cooking-time,office,0,29,0,100
619240-17072012,Winter,6100,2,Office Hours,rest_home,0,3,0,100
619329-17072012,Winter,6990,3,Office Hours,apartment,0,3,0,100
619332-17072012,Winter,6990,4,Office Hours,apartment,0,2,0,100
619334-17072012,Winter,6990,5,Cooking-time,apartment,0,1,0,100
619336-17072012,Winter,6990,6,Cooking-time,apartment,0,1,0,100
619344-17072012,Winter,6990,7,Cooking-time,apartment,0,1,0,100
619378-17072012,Winter,1100,1,Cooking-time,shopping_mall,0,4,0,100
619610-18072012,Winter,6990,8,Cooking-time,apartment,0,1,0,100
620110-19072012,Winter,1100,0,Office Hours,hotel,0,9,0,100
620336-19072012,Winter,6990,2,Cooking-time,school,0,2,0,100
620418-19072012,Winter,6990,3,Cooking-time,school,0,1,0,100
620475-20072012,Winter,1100,1,Night-time,office,0,5,0,100
620889-20072012,Winter,1100,0,Cooking-time,restaurant,0,2,0,100
620945-20072012,Winter,6900,2,Cooking-time,hospital,0,11,0,100
621079-21072012,Winter,6200,1,Night-time,office,0,1,0,100
621302-21072012,Winter,6110,2,Office Hours,school,0,4,0,100
621628-22072012,Winter,1200,0,Night-time,apartment,0,1,0,100
621642-22072012,Winter,1200,1,Cooking-time,apartment,0,1,0,100
622109-23072012,Winter,6200,1,Cooking-time,others,0,11,0,100
622349-23072012,Winter,6990,1,Office Hours,office,0,19,0,100
622375-23072012,Winter,1100,0,Office Hours,tansport,0,9,0,100
622533-24072012,Winter,1900,0,Night-time,others,0,4,0,100
622537-24072012,Winter,1100,0,Night-time,house,0,5,0,100
622541-24072012,Winter,6100,1,Night-time,rest_home,0,9,0,100
622650-24072012,Winter,6110,0,Office Hours,shopping_mall,0,7,0,100
622656-24072012,Winter,6100,3,Office Hours,rest_home,0,2,0,100
622802-24072012,Winter,6990,2,Office Hours,office,0,2,0,100
623010-25072012,Winter,1100,1,Night-time,school,0,7,0,100
623059-25072012,Winter,6900,2,Cooking-time,rest_home,0,2,0,100
623214-25072012,Winter,1370,0,Cooking-time,others,0,1,0,100
623497-25072012,Winter,6900,1,Night-time,industry_facility,0,8,0,100
624042-27072012,Winter,1120,1,Night-time,others,0,3,0,100
624151-27072012,Winter,1120,2,Cooking-time,others,0,1,0,100
624312-27072012,Winter,6200,0,Office Hours,house,0,5,0,100
624537-28072012,Winter,6990,2,Night-time,office,0,5,0,100
624540-28072012,Winter,6100,0,Night-time,house,0,14,0,100
624582-28072012,Winter,6990,3,Night-time,office,0,3,0,100
624621-28072012,Winter,6990,4,Night-time,office,0,1,0,100
624901-28072012,Winter,6200,1,Office Hours,shopping_mall,0,5,0,100
625161-29072012,Winter,6900,2,Night-time,office,0,1,0,100
625663-30072012,Winter,6200,1,Night-time,hotel,0,3,0,100
625668-30072012,Winter,0,0,Night-time,hospital,0,2,0,100
625734-30072012,Winter,6990,2,Cooking-time,public_facility,0,5,0,100
626267-31072012,Winter,1120,0,Night-time,hotel,0,2,0,100
626340-31072012,Winter,6100,1,Cooking-time,shopping_mall,0,14,0,100
626364-31072012,Winter,6110,0,Office Hours,industry_facility,0,4,0,100
626426-31072012,Winter,6990,3,Cooking-time,hospital,0,5,0,100
626544-31072012,Winter,6100,3,Office Hours,others,0,3,0,100
626716-31072012,Winter,6100,4,Cooking-time,others,0,2,0,100
626786-01082012,Winter,6100,5,Night-time,others,0,2,0,100
627055-01082012,Winter,1200,0,Office Hours,office,0,1,0,100
627197-01082012,Winter,1200,1,Cooking-time,office,0,1,0,100
627205-01082012,Winter,6110,1,Cooking-time,industry_facility,0,2,0,100
627266-01082012,Winter,1200,2,Cooking-time,office,0,1,0,100
627308-02082012,Winter,1200,3,Night-time,others,0,1,0,100
627325-02082012,Winter,6100,6,Night-time,others,0,1,0,100
627383-02082012,Winter,6100,0,Cooking-time,restaurant,0,8,0,100
627652-02082012,Winter,6100,7,Office Hours,others,0,1,0,100
627694-02082012,Winter,6990,3,Office Hours,shopping_mall,0,2,0,100
627812-02082012,Winter,1200,4,Cooking-time,office,0,1,0,100
627881-03082012,Winter,6990,2,Night-time,public_facility,0,4,0,100
627895-03082012,Winter,6100,8,Night-time,others,0,1,0,100
627919-03082012,Winter,6990,3,Night-time,public_facility,0,1,0,100
628745-04082012,Winter,6200,1,Office Hours,hospital,0,1,0,100
629238-04082012,Winter,6990,3,Cooking-time,shopping_mall,0,6,0,100
629438-05082012,Winter,6990,4,Night-time,shopping_mall,0,3,0,100
629467-05082012,Winter,6990,5,Cooking-time,shopping_mall,0,1,0,100
632051-09082012,Winter,6900,1,Night-time,public_facility,0,9,0,100
632091-09082012,Winter,6990,2,Night-time,shopping_mall,0,9,0,100
632586-09082012,Winter,6200,1,Office Hours,others,0,10,0,100
632694-09082012,Winter,6990,2,Cooking-time,office,0,4,0,100
632812-10082012,Winter,6200,1,Night-time,rest_home,0,4,0,100
632839-10082012,Winter,6990,5,Night-time,shopping_mall,0,1,0,100
633098-10082012,Winter,6110,1,Cooking-time,public_facility,0,9,0,100
634103-11082012,Winter,6900,2,Night-time,rest_home,0,5,0,100
634199-11082012,Winter,6100,2,Office Hours,apartment,0,2,0,100
634407-11082012,Winter,6100,0,Office Hours,restaurant,0,2,0,100
634684-11082012,Winter,6900,1,Cooking-time,restaurant,0,1,0,100
634746-11082012,Winter,6990,0,Night-time,restaurant,0,5,0,100
634777-11082012,Winter,1100,2,Night-time,others,0,12,0,100
634868-12082012,Winter,1100,3,Night-time,others,0,3,0,100
634883-12082012,Winter,6900,2,Night-time,shopping_mall,0,1,0,100
635379-12082012,Winter,1100,4,Cooking-time,others,0,2,0,100
635850-13082012,Winter,1100,2,Office Hours,others,0,4,0,100
635852-13082012,Winter,6100,2,Office Hours,others,0,9,0,100
635857-13082012,Winter,6100,2,Office Hours,hospital,0,5,0,100
636182-14082012,Winter,6100,1,Cooking-time,house,0,3,0,100
636689-15082012,Winter,6100,1,Night-time,school,0,13,0,100
637517-16082012,Winter,1190,0,Cooking-time,office,0,1,0,100
638166-17082012,Winter,1900,0,Cooking-time,others,0,13,0,100
638388-17082012,Winter,6110,2,Cooking-time,public_facility,0,2,0,100
638961-17082012,Winter,6110,3,Night-time,public_facility,0,1,0,100
639005-18082012,Winter,6110,4,Night-time,public_facility,0,1,0,100
639817-19082012,Winter,1100,0,Night-time,restaurant,0,3,0,100
641206-21082012,Winter,6100,1,Night-time,shopping_mall,0,17,0,100
641422-21082012,Winter,6110,1,Cooking-time,rest_home,0,1,0,100
641482-21082012,Winter,1200,0,Cooking-time,apartment,0,1,0,100
642032-22082012,Winter,0,0,Office Hours,apartment,0,3,0,100
642400-22082012,Winter,6100,3,Cooking-time,hospital,0,4,0,100
642430-22082012,Winter,6100,4,Cooking-time,hospital,0,1,0,100
643386-23082012,Winter,6100,2,Cooking-time,rest_home,0,3,0,100
643451-23082012,Winter,6100,3,Cooking-time,rest_home,0,4,0,100
643809-24082012,Winter,6900,2,Office Hours,rest_home,0,1,0,100
644735-25082012,Winter,6100,3,Cooking-time,others,0,3,0,100
645095-26082012,Winter,6100,1,Office Hours,industry_facility,0,1,0,100
645140-26082012,Winter,6100,2,Office Hours,industry_facility,0,1,0,100
645831-27082012,Winter,6990,1,Cooking-time,rest_home,0,12,0,100
645891-27082012,Winter,6990,2,Cooking-time,rest_home,0,2,0,100
646591-28082012,Winter,6990,3,Office Hours,others,0,6,0,100
646614-28082012,Winter,6990,4,Office Hours,others,0,6,0,100
646972-29082012,Winter,6990,6,Cooking-time,others,0,6,0,100
648505-30082012,Winter,6110,1,Night-time,school,0,12,0,100
648630-31082012,Winter,1120,3,Cooking-time,others,0,1,0,100
648702-31082012,Winter,6900,3,Office Hours,hospital,0,3,0,100
